"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
	1		0	"Agencija ZLATNI PUT – MIM TRAVEL je specijalizovana turistička agencija koja se nalazi u ulici Majke Jevrosime 11 u Beogradu, sa željom da Vama i Vašim klijentima pruži izuzetno profesionalne usluge na putovanjima u zemlji i inostranstvu. Zahvaljujući višegodišnjem iskustvu i uspešnom poslovanju proteklih decenija, u mogućnosti smo da realizujemo Vaše zahteve na veoma profesionalan način, brzo, kvalitetno i predano.
U ponudu imamo između ostalog:
- avio karte za destinacije širom sveta – rezerva
... (348 chars skipped) ... 
stranstvu, zimovanja i letovanja u zemlji i inostranstvu,
- organizacija wellness i relaks vikenda u zemlji i inostranstvu, polise međunarodnog zdravstvenog osiguranja,
- mini-bus transferi i najmovi, kao i rent-a-car usluge
Dostava avio karata i prateće dokumentacije (vaučeri, propagandni materijali, polise osiguranja i sl.) se vrši na Vaš zahtev i zahtev Vaših klijenata bilo na kućnu ili drugu odgovarajuću adresu.
Mogućnosti plaćanja usluga su sledeće: gotovinski, na račun, kreditnim karticama
... (348 chars skipped) ...
a sve ono što je potrebno za realizaciju stručnog putovanja.
Na Vaš zahtev dostavićemo Vam programe putovanja sa svim detaljima, cenom i neophodnim klauzulama.
Ponuda-leto-2015
- Turska - Kušadasi
- Turska - Sarimsakli
- Grčka - autobusom
- Grčka - avionom
Radno vreme :
- Ponedeljak-Petak od 09:00 – 19:00h,
- Subotom od 09:00h - 16:00h.
Za hitne rezervacije slobodno nas kontaktirajte na tel: +381 64 145 40 06 ili +381 64 92 26 258
U nadi da ćemo ostvariti lepu saradnju, srdačno Vas pozdravljamo."	87134f72c9c52278045d21d5161a32ab
			0	"Koja je vaša omiljena aplikacija za vremensku prognozu?
Vreme kada se s nestrpljenjem isčekivao kraj Dnevnika da bismo saznali kakve nas vremenske prilike očekuju, odavno je iza nas. Internet je učinio svoje, a mobilni telefoni i veliki broj aplikacija za vremensku prognozu su samo logičan nastavak tehnološke evolucije. Puno je nas kojima je jedna od prvih jutarnjih aktivnosti proveravanje klimatskih prilika najavljenih za taj dan, pa hajde da vidimo koja je vaša omiljena aplikacija za vremensku
... (1744 chars skipped) ... 
ste i intenziteta padavina, vreme početka i završetka padavina na vašoj lokaciji. Ovo je jedna od karakteristika koja AccuWeather čini jednom od najpopularnijih aplikacija za vremensku prognozu na svetu.
- Yahoo weather aplikacija za vremensku prognozu postala je veoma brzo popularna, pre svega zbog odličnog dizajna. Reklama nema, osim informacije o autoru fotografije koja je u pozadini, a koju Yahoo koristi iz svoje Flickr baze. Fotografije su uslikali sami korisnici, i za svaki grad postoji ne
... (1744 chars skipped) ...
atake. Ono što nam je posebno zapalo za oko je i prikaz vremenskih prilika u “vremenskoj mašini”, tako da lako možete saznati da li ste se rodili na sunčan i lep ili tmuran dan.
Jasno je da je izbor ovih nama jako značajnih aplikacija velik. Za koju ćete se odlučiti ostaje samo na vama. Ako već ne možemo da utičemo na vremenske prilike, trebamo biti srećni što veoma brzo i lako možemo saznati ono što nas o njima zanima i tako biti u mogućnosti da lakše i bolje planiramo svoje vreme i aktivnosti."	08c7c848527bf1d1317d68685de6d63f
			0	"Dva tima s vrha tabele Bundeslige, Bajern i Šalke, na teren izlaze tek u nedjelju. Na utakmicama koje se igraju pre toga šansu za priključak na vrh imaju Borusija iz Dortmunda, Verder i Borusija iz Menhengladbaha.
Centrafor Bajerna Gomez je u odličnoj formi i nada se novim golovima
Nakon što je sa protekla dva gostovanja Bajern kući doneo samo jedan bod, ove nedelje u Minhenu gaje nadu da bi iz gostiju mogli da donesu sva tri boda. Bajern, naime, u ovom, 12. kolu, ide u goste Augsburgu. Nasuprot
... (1006 chars skipped) ... 
litetan tim koji je tokom ove sezone pokazao različita lica, ali i da je uvek spreman na iznenađenje. Zato moramo da gledamo da od početka uspostavimo dominaciju na terenu.“
To želi i trener Borusije iz Menhengladbaha Lucien Favre koji se vraća na stadion koji dobro poznaje - stadion Herte u Berlinu. Favre je nekada trenirao taj klub. Herta nije izgubila poslednje četiri utakmice kao domaćin i nije tim za potcenjivanje, tvrdi igrač Borusije Martin Štrancl:
Povratak Favrea u Berlin
„Oni su već po
... (1006 chars skipped) ...
a Stanislavskog, ali i za reprezentaciju BiH, je skoro izvestan povratak Sejada Salihovića u prvu postavu. Salihović je proteklih dana intenzivno trenirao i moguće je da zaigra prvi put nakon povrede.
U ovom 12. kolu igra se još i utakmica Nirnberg-Frajburg. Frajburgu su za bekstvo sa dna tabele potrebna tri boda. Ipak, to će biti teško ostvarivo na ovom gostovanju. Frajburg je, naime, izgubio šest od poslednjih sedam utakmica.
Autori: Kale Kops / Azer Slanjankić
Odgovorni urednik: Ivan Đerković"	2d0f47a1dbe70d9144619ca7a4b6ab1a
			0	"Na ostrvu se mogu kombinovati odmor u skrovitom kutku kraj mora i odličan noćni život. Sem epiteta zelenog i cvetnog ostrva tragovi kulurnog nasleđa nekadašnjih vladara Vizantije, Venecije, Francuske i Engleske nalaze se svuda. Homer je prvi koji je opevao lepotu i čari Krfa, u svojoj „Odiseji"", opisujući kupanje Odiseja posle brodoloma kada ga je na obali pronašla Nausikaja, ćerka tadašnjeg vladara, kralja Alkinoja. Krf je ostrvo koje je i svedok patnji srpskih vojnika, koji su, sanjajući o osl
... (2388 chars skipped) ... 
 svake godine paradama i manifestacijama na celom ostrvu. Gradska skupština se nalazi na Trgu Michael Theotoki. To je građevina iz 17. veka, jedan od karakterističnih primera mletačke arhitekture. Njena izgradnja počela je 1663. goodine, a završena je 1693. Nepoznati arhitekta je birao kamen iz Siniesa i dao građevini sjajan renesansni izgled. Stari grad vraća u davnu prošlost; uticaj Evrope vidljiv je svuda i harmonično se uklapa u drevne objekte dajući gradu specifičan kolorit.
Plaže
Ostrvo ka
... (2388 chars skipped) ...
adicionalno ručaju u restoranima. U ponudi su grčka musaka, sarme, morski specijaliteti, ali i mesne đakonije. Po gradu i ostrvu se lako možete kretati autobusima kompanije Ktel. Plave boje su oni koji prevoze po gradu, a zeleni po ostrvu. Cena karte na bilo kojoj relaciji je jedan evro! Na raspolaganju su vam i povoljne rentakar agencije kod kojih je oko 25 evra dan iznajmljivanja vozila. Bez obzira na to koje prevozno sredstvo izabrali, opustite se i dozvolite ostrvu da vas očara u potpunosti."	fbb4ab441e9dc71e90a8355cd5ed6cc5
	1		0	"Danas širom naše zemlje vreme oblačno, nestabilno i osetno svežije. Od sutra prestanak padavina, stabilizacija vremena i uglavnom sunčano vreme uz temperaturu oko normale.
Tokom noći na tlo Srbije došlo je do prodora hladnog fronta koji je doneo naoblačenje, kišu, pojačan severozapadni vetar i osetan pad temperature. Danas hladnije, ponegde i za 10-ak stepeni.
Zona padavina će se od Vojvodine tokom dana premeštati ka jugu Srbije, donoseći kišu i lokalne pljuskove sa grmljavinom. Sredinom dana na severu, a uveče i u ostalim krajevima postepeni prestanak padavina i razvedravanje.
Vetar će biti umeren i jak, severozapadni. Maksimalna temperatura danas od 18 do 23 stepena.
Sutra se kiša očekuje još samo ponegde na jugu zemlje. Krajem dana će se razvedriti pa nas od nedelje i tokom naredne sedmice očekuje pretežno sunčano vreme, uz minimalnu temperaturu oko 10, a maksimalnu oko 20 stepeni.
Koje je tvoje mišljenje o ovome?
Budi prvi ko će ostaviti komentar!"	7663c57fec4980c9c424b2df9b4b34c7
	1		1	"Moderator: O'zone
Prije svega; bliži se 8. mart, zanima me da li ga vi, dame, obilježavate kao neki poseban praznik, ili mu ne pridajete puno značaja?
Muški; čime obradujete svoju mamu/sestru, šta im kupite za ovaj praznik? Šta poklonite djevojci?
Djevojke; da li postoji neki poseban poklon koji vam je ostao u sjećanju koji ste dobile od momka/muža/brata ili nekog drugog člana obitelji? Šta bi vas najviše obradovalo?
Nadam se da će odgovori na ovu temu pomoći onima koji su u nedoumici šta da pok
... (2487 chars skipped) ... 
..rijetko kad čujem za neko predavanje, neki vid edukacije ili svečanih sjednica.Loulou wrote:
8. ožujak nije dan samo za proslave i cvijeće nego se na taj dan prisjeća svih žena koje su sudjelovale u ženskim pokretima diljem svijeta.
- Bambi_na_kofeinu
- Posts: 1179
- Joined: 04/11/2005 00:21
A zašto?zelenashica wrote:Samo nemoj cvijeće živ bio....previše otrcano.
Sve češće čujem od žena kako su im cvijeće/bombonjera otrcani i klišeizirani znakovi pažnje...
Možda sam staromodna ali meni tu nagl
... (2487 chars skipped) ...
 Vedrana!-Nepravda bilo gdje, prijetnja je pravdi svugdje-M.L.King.
To je isto kao da slavis , recimo, Novu Godinu bez jelke ili djeda mraza
Crveni karanfil, sto se kasnije prenjelo uopste na cvijece, nije nesto sto je izmisljeno eto onako....i ima svoje znacenje i tezinu.
Trazite, zahtjevajte..ocekujte..za neke druge praznike, ili ne moraju praznici ni biti , neke druge poklone..parfeme, sexy rublje, vecera ili sta vec..ali 8. mart bez crvenog karanfila je isto nista..za mene cak i skrnavljenje"	2f6c8e4e3cd2de0c4bbb0c992dbeaf0b
	1		1	"Dana 23. I 24. Maja 2009 godine, u Živinicama (Mjesto Hornica) ponovo je nakon dugo vremena održan turnir u uličnom basketu 3 na 3 pod nazivom “Streetball Challenge-Živinice 2009.” Turnir je privukao pažnju mnogobrojnih ljubitelja ovoga sporta a pored domaćih Živiničkih ekipa svoje učešće prijavile su i ekipe iz Srebrenika, Tuzle, Banovića, Kalesije i Dubrava. Pored prijavljenih ekipa moramo istaći da je veliko interesovanje pokazala i mnogobrojna publika koja je također stizala sa svih strana T
... (3798 chars skipped) ... 
ategoriji Juniora. Od 4 finalna učesnika najprecizniji je bio Samir Pećaninović (Ekipa LBJ) koji je od mogućih 15 lopti ubacio 9 poena. Odmah iza njega bio je Džemal Taletović sa 7 ubačenih poena, zatim Salmir Ahmetović sa 6, te Alen Glavinić sa 5 ubačenih poena. U takmičenju u zakucavanju koje je izazvalo ogromno oduševljenje među publikom, po jednoglasnoj odluci žirija najatraktvnija zakucavanja pružio je mladi Mirza Bulić (Ekipa Millenium) koji je imao dva zaista atraktivna zakucavanja.
Nakon
... (3798 chars skipped) ...
-Živinice, “Auto Centar BH”-Tuzla, T.R. “NUSKO”-Živinice(Hornica), Frizerski Salon “AIDA”-Živinice, d.o.o “VELMED”-Živinice, “Triglav BH Osiguranje”-Tuzla.
U ime organizatora turnira još jednom se zahvaljujemo svim posjetiteljima turnira, ekipama, sponzorima, medijskom pokrovitelju RTV Živinice, te naglašavamo da je nastojanje organizatora da se ovakve manifestacije održe još par puta tokom ljeta a datum i vrijeme održavanja narednog turnira bit će blagovremeno naglašeni.
Vaš komentar na članak:"	c1d7529f0321a5270798f465c89c9fb2
	1		0	"03.04.2015 Prvi trkački dan u Bogatiću na Cveti
Tradicija otvaranja zvanične sezone galopskog sporta u Srbiji nastavlja se organizovanjem prvog trkačkog dana na hipodromu u Bogatiću.
KK „Mačvanin“ Bogatić poziva sve ljubitelje konjičkog sporta da dođu 5.aprila na otvaranje trkačke sezone. Kvalitetan upis i prvo nadmetanje sigurno će doneti mnogo uzbuđenja. Početak trka je u 14:30h, ulaz je 200 dinara sa programom, za decu besplatan.
U klupskim štalama sada se nalazi oko 10 galopera koji će sa bogatinskog hipodroma spremni odlaziti na trke širom Srbije.
„Uslovi za trening su zadovoljavajući ali trudićemo se da u budućnosti postanu još bolji. Ja imam četiri konja koje treniram na našem hipodromu“, rekao je Radiša Radovanović, konjar iz Bogatića.
Iako rano proleće još nije probudilo prirodu, duž tribina zabelela se ograda a pored staze tek ograđen padok. „Do prvog trkačkog dana više se nije moglo, ali nećemo stati sa ograđivanjem hipodroma u danima koji dolaze. U planu je i osposobljavanje peščane radne staze kako bi konjari imali sve neophodne uslove za trening“, rekao je predsednik KK „Mačvanin“ Goran Gagić.
Kompletan upis možete videti na našem portalu:
N.Isaković, P.Petrović"	02042c8d5178758b136cbb45315df704
	1		1	"Brdska trka Evropskog prvenstva, Prvenstva Hrvatske, Slovenije i Austrije “Buzetski dani 2022” vozila se proteklog vikenda 17-18. septembra 2022. godine u Buzetu (Hrvatska), na kojoj je...
U Ilirskoj Bistrici (Slovenija) 3. i 4. septembra održano je Evropsko prvenstvo u brdskim trkama koje se bodovalo i za Prvenstvo Slovenije, Hrvatske i Austrije. Na...
Van krugova takmičara i ljubitelja autosporta u Bosni i Hercegovini malo je poznato da je upravo Šampionat BiH na brdskim stazama bio prvi sport koji je..."	e52e0e34ffb5d4221fdeab39e6243570
	1		0	"Francuz Martin Fourcade slavio je u bitalonu, utrci na 20 kilometara, te je tako osvojio drugo zlato na Zimskim olimpijskim igrama u Sočiju. Fourcade je bio najbrži s vremenom 49:31.7 minute pogodivši pritom 19 od 20 zadanih meta. Jedan promašaj donio mu je jednu kaznenu minutu. Nastupima u Sočiju Fourcade dokazao je da je najbolji svjetski biatlonac u ovom trenutku.
Drugo mjesto zauzeo je Nijemac Erik Lesser koji je za Fourcadeom zaostao 12.2 sekunde iako je pogodio svih 20 meta, dok je do bronce stigao domaći predstavnik Jevgenij Garaničev sa 34.5 sekunde slabijim vremenom od Fouradea uz jedan promašaj. Jakov Fak, bivši hrvatski reprezentativac koji sada nastupa za Sloveniju, završio je na 32. mjestu s 3:45.9 minuta zaostatka.
Facebook komentari:"	4d22e8f0216f5433cfa422725d842898
