"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"-
Par Kocsis dans BA NANI BAZEYE LUSANSU LUA MBANZA (Par ADAM NLEMVO DE LUANDA) le 9 Avril 2013 à 11:29
Cher Adam,
Mu ntangu tua kala Bana ba fioti, kingana kimosi tua telenge ku Ngungu, ye mpe nsidi vuvu vo ku vilakene kioko : “Kinsumba, ka ki konduanga mu lambu ko”. C’est vrai, Bisimbi bia Ngungu, tua kuma bonso bi nsumba. Tua muangana mu ma vata mawonsono ye mu nza ya mvimba. Quoi de plus normal pour qu’on retrouve des ngunguois à Luanda, car l’Angola et la RD Congo sont deux pays frères et a
... 
ndimba leta... Nani ka zaya Tata Mbuta Abbé Dinganga ko, ye nani wa vilakana Matoko Ziola, Meya Meya, Davra Davra, Ma Henriette Munganga, Ma Maria Tebo, Marie Weya, Niki, Ngibi, Daksel Ngielele, Mayento, A rien à faire, Kayanga, ...
Ngungu, Vata dia mpuenia mu ntangu ya beto dia kala bonso fi ville dia mindele, kadi Mfumu za OTRACO yi kuna ba zingidingi. Kua ba mpangi bobo ba vayika ntama ku Kongo, vata dia Mbanza Ngungu dia tomene nuna. Nzo zozo za ntama za tu tungila ma se ye zi ngudi zeto, yi
...
OTI). Bantu ba tanu ba zimbane...
Tu sidi vuvu vo Tison Nenkula ye ba mpangi bobo ba kuzeye, ba bakidi message miomio utufidisi.
Mu nkumbu ya bisimbi biawonsono, Mbote zeno beno bawonsono koko Ngola. Vo lumonane ye Mpangi a Nkueno, Edo Waya Waya, mbote zawu zayingi...
-
Commentaires
Tu as bien parlé Pererira. On n'oublie jamais sa ""fondation"".
Fier d'être ngunguois, fier d'être angolais, fier d'être un san salvador
Mfumu a Mpanzu, Muana Nlaza
Vas mon frère... et saluez ton clan, toute ta famille"	13f5067878a155439e77761e095913b8
				"Polo ayi Sila bakembisa Yave mu minkunga bo baba mu buloku. (Mavanga 16:25) Bukyedika ti kukwimbila, kuba kindisa kununga ziphasi. Buabu befu bubu? Minkunga tunsadilanga mu mbwongimin’itu, milenda tuvana mayangi ayi kutusadisa tutatamana bakwikama mu thangu twidi mu ziphasi. Ayi miawu mvandi minkembisanga Yave. (Minkunga 28:7) Diawu batukindisilanga khumbu ziwombo mwingi tulonguka ayi tulunda va ntu minkunga beni. Ngye widi mu kuvanga mawu? Tulenda longuka minkunga mitu mu thangu tumvanga mbwongimini yi dikanda.
TALA VIDEO YINTUBA BANA BALEZI LUKEMBISA YAVE MU MINKUNGA, BOSI VUTULANU BYUVU BINLANDA:
Ndandu mbi tulenda baka mu kukwimbila minkunga mi Kintinu?
Bwidi dingumba di Audio/Video bankubiminanga mwingi kugrava voti kulunda minkunga?
Bwidi bana ayi makanda mawu bankubiminanga mwingi kwe grava minkunga??
Minkunga mbi wunzolanga beni, ayi mu kibila mbi?"	cdcc2b4cb7675b0e6786fd6ffd589880
				"“Beno landa mbandu ya bantu yina ta baka balusilu na nzila ya lukwikilu mpi ntima-nda.”
1, 2. Sambu na nki yo kele mfunu nde beto vanda ti lukwikilu tuka ntangu yai? Pesa mbandu.
LUKWIKILU. Yo kele ngogo mosi ya kitoko, yina ke monisaka kikalulu mosi ya mbote. Kansi, ntangu beto me wa ngogo yina, yo ta vanda mbote nde beto yindula mpi ngogo ya nkaka: “Kusala kukonda kusukinina!” Nkutu, kana beto kele ve ti lukwikilu, beto fwete sala mambu kukonda kusukinina sambu na kuvanda ti yo. Mpi kana beto 
... 
a na mudindu sambu na kuzaba mutindu mambu salamaka na ntangu bo sonikaka masolo yina ya Biblia mpi bisika yina yo salamaka. Kana beto ke yibuka ntangu yonso nde babakala mpi bankento yina ya kukonda kukuka vandaka “ti mawi bonso ya beto,” bambandu na bo ta vanda ya kieleka kibeni sambu na beto. (Yak. 5:17) Kana beto kuditula na kisika na bo, beto lenda yindula mutindu bo vandaka kudiwa ntangu bo kutanaka ti bampasi mpi makambu yina me fwanana ti ya beto.
7-9. (a) Inki mutindu babakala mpi banke
...
le ve nde, bo ta sepela na kuzaba mutindu Yehowa lungisaka balusilu na yandi yonso. Na nsi-ntoto ya mpa, beto ta vanda diaka ve na mfunu ya kudiyula kana bansadi ya kwikama ya Nzambi yina Biblia ke tubila vandaka nki mutindu. Bo ta vanda pana ti beto, na Paladisu! Yo yina, landa na kusala yonso yina nge lenda sala ntangu yai sambu bantu yina kukuma bantu ya kieleka sambu na nge. Fula kulanda mbandu na bo. Bika nde nge sepela na kusadila Yehowa kimakulu kumosi ti bo bonso banduku na nge ya ngolo!"	a77b9ad1e4b4a4428478a019b4232a94
				"MU thangu batu ba kutukyebila mu phila yimboti, befu tumbanga beni mayangi. Ma kutukindisanga kuzaba ti bawu ba kutuvwa nkinza. Bo tumvutulanga matondo mu thangu bankaka ba kutumonisa mamboti, bwidi tulenda longukila kuba bankwa mamboti?
Mutu widi nkwa mamboti wumvwanga bankaka nkinza ayi wummonisa mawu mu mambu kantuba ayi kamvanga. Nandi kasi ko to lukinzu, vayi wunkyebilanga bankaka mu phila yimboti bila wu kubazola ayi wumvisa mabanza mawu. Bilutidi nkinza, kuba nkwa mamboti yidi khadulu yi 
... 
 kyoso kyuma kinkaka kalenda tomba.—Luka 10:29-37.
Kuba nkwa mamboti kwala tusadisa kuvwa bankaka nkinza ayi kuba kindisanga, bika to mu mambu tumvanga, vayi mvandi mu mambu tuntuba. Kibibila kintuba: ‘Mabanza mawombo mamfyetikisanga ntima wu mutu, vayi dyambu dimboti dinkwangidikanga ntima.’ (Zingana 12:25, tala matangu madi va wanda mu nwt-TPO) Mu thangu mamboti ayi luzolo lu kutomba monisa mawu ma kututwadisa kutuba mambu mankindisa bankaka, twala bavanga baluta ba mayangi. * (Tala matangu ma
...
 ayi mankindisa bankaka. (Zingana 12:18) Befu vanga mawu, baboso mu kimvuka bala sadila Yave mu mayangi.
Dedi bo tuma longuka, kuba nkwa mamboti yidi khadulu tummonisanga mu mambu moso tuntuba ayi tumvanga. Ayi bo tumba batu bamboti, twidi mu kulandakana kifwani ki Yave, Nzambi yi luzolo ayi widi koku kuyalubuka. (Efeso 5:1) Mawu malenda vanga kimvuka kiluta kinda ayi kuvanga bankaka basadila Yave. Diawu, ndoko tuvanga mamoso tunnunga mwingi bankaka bamona ti Zimbangi zi Yave, badi batu bamboti!"	5f95a77a235e0b90fc08866a4abf9963
				"BAKALA yai ya beno kemona awa, kebumba na ntoto ya nzo-tenta na yandi lele ya kitoko, ndambu ya wolo mpi mbongo ya yandi mebaka na bima yina bau kutaka na mbanza Yeriko. Kansi, inki bau fwete sala na bima yina kele na Yeriko? Keti beno kezaba dyaka?
Bau fwete kufwa bima yonso, kaka mbongo, wolo, bibende fwete tulama na kibumbilu ya tabernacle ya Jéhovah. Bantu yai ya kifwanisu kemonisa mekolama na Nzambi. Bau meyiba bima ya Nzambi. Zina ya bakala kele Akana mpi bantu yankaka kele bantu ya dibuta
... 
ngaka bantu mpi Jéhovah monisaka Akana. Akana ndimaka nde: ‘Mono mesala disumu. Mono monaka lele mosi ya kitoko, ndambu ya wolo mpi bibende ya mbongo. Mono kuwaka nzala na yau mingi: mono bakaka yau. Beno tamona yau ya kubumba na ntoto, na nzo-tenta na mono.’
Na nima ya bau natilaka yandi bima yina, Josué zabisaka Akana nde: ‘Sambu na nki nge mekotisa beto na bampasi? Jéhovah takotisa nge na bampasi bubu yai!’ Mpi bantu yonso fwaka Akana mpi dibuta na yandi: bau fwaka bau na matadi. Sambu na yau
...
mfunu beto kebaka na ndola yina Akani kubakaka?
Bangyufula ya ngika
- Tanga Yozue 7:1-26.
Bisambu ya Yozue kumonisaka nki sambu na yina metala bangwisana na yandi ti Ngangi na yandi? (Yoz. 7:7-9; Nk. 119:145; 1 Yoa. 5:14)
Mbandu ya Akani kemonisa inki, mpi sambu na nki yo kele lukebisu sambu na beto? (Yoz. 7:11, 14, 15; Bing. 15:3; 1 Tim. 5:24; Baeb. 4:13)
- Tanga Yozue 8:1-29.
Inki mukumba konso muntu na kati na beto kele na yo na dibundu ya Bukristu bubu yai? (Yoz. 7:13; Levi 5:1; Bing. 28:13)"	866b867c849ca9064bbf3afac8e69948
				"- KINSHASA: Mbanza kimnfumu kinshasa ta kangama nkangu ta basika ve, na bilumbu iya yai yandika kilumbu ya basi na poso/sites/default/files/2020-03/27032020-a-k-journalkikongosoir-00.mp3
- KINSHASA: na nzandu ya nene nkangu kuwaka wonga ve ya kukutana mingi na zandu ya nene ya kinshasa, sambu na kusumba bima ya kusweka sambu an bilumbu tatu ya confinement
- KINSHASA:kilumbu mosi na ntuala ti nkangu kukangama na ba inzo na libongo y kinshasa, nkangu kele na wonga ve ya kukutana mpe kututana mpe kutambikilana kimbevo ya coronavirus
- GOMA:Ntuadisi ya kizunga nord kivu kutkana ka na bantu ya minkiti sambu na kuzabisa bau matisa bau ve ntalu ya bima na ntangu yai nkangu ke kwamina na kimbevo ya Corovirus
- KINSHASA: Kimbevo Corovirus me kwamina bantu makumi tanu na iya na kinshasa, iya me manisa kufwa
- BUNIA: Ntuadisi ya kimvuka ya binuani ya ba CODECO ba kufwaka yandi mazono na makesa ya insi , yandi vuandaka na kento na yandi
- KALEMIE: Binuani ya dikanda ya ba ntwa ke landakana na kunuanisa nkangu na kuziona bina na bau mpe kunatumuna ba kaka"	0c8db842da7b120d700f8878547583f1
				Biblia ke yantika ti disolo ya lugangu; yo ke kangula beto meso sambu beto mona bima ya kitoko yina Yehowa salaka, na zulu mpi na ntoto. Kana nge kele kibuti, sadisa mwana na nge na kumona bima ya mutindu na mutindu yina kele na lugangu. Songa yandi mutindu Nzambi salaka bantu sambu bo luta kibeni bambisi; yandi pesaka beto mayele ya kutuba, ya kuyindula, ya kusala mambu, ya kuyimba, mpi ya kusamba. Kuma ti ntonda sambu na ngolo mpi mayele ya Yehowa mpi mingi-mingi sambu na zola na yandi sambu na bima yonso ya yandi me salaka, tanga mpi konso muntu na kati na beto.	5f81e5115678f8c41e422929e2e561d0
				"Mbona-meso ya tempelo ya Ezekiele ke monisa nde bansadi ya Yehowa ta pesaka makabu ya luzolo. Inki mutindu beto lenda pesa Yehowa bimenga ya lukumu?—Ebr 13:15, 16.
Beto lenda sala yo kana beto sala kisalu ya kimupasudi-nzila nsadisi. Na mvula ya kisalu 2018 bangonda mingi kele ti bamposo tanu mpi balumingu tanu. Yo kele kibeni dibaku ya mbote sambu na bampangi yina ke salaka kisalu ya kinsuni ya ke bakaka bo ntangu mingi mpi bayina ke samunaka mbala mingi na nsuka ya mposo. Diaka, bansamuni lenda pona na kusala bangunga 30 to 50 na ngonda ya Marsi ti Aprili mpi na ngonda ya viziti ya Nkengi ya nziunga.
Ebuna, nki beto lenda sala kana luzingu na beto ke pesa beto ve nzila ya kukuma bapasudi-nzila? Beto lenda sala bikesa sambu na kutomisa kisalu na beto ya kusamuna mpi kusala bangunga mingi. Yo vanda luzingu na beto ke pesa beto nzila to ve, zola ya Yehowa fwete pusa beto na kusadila yandi mingi na mvula ya kisalu 2018.—Oze 14:2.
BENO TALA VIDEO—TI LUSADISU YA YEHOWA, MONO LENDA SALA KONSO KIMA YINA. NA NIMA BENO PESA MVUTU NA BANGIUFULA YAI:
Inki pusaka Sabina na kusala mingi na kisalu ya Yehowa?
Inki mutindu mbandu ya Sabina ke pesa nge kikesa?
Na mvula ya kisalu 2018, inki ngonda to bangonda nge lenda sala kisalu ya kimupasudi-nzila nsadisi?"	87855e19b95a07ec3cecde0ad4f791d7
				"“Losila Yehowa kizitu na nge, ebuna yandi ta sadisa nge. Yandi ta pesa ve nzila ata fioti nde muntu ya lunungu kubwa.”
“Balukanu ya muntu yina ke salaka ngolo ke nataka kibeni na kununga, kansi bantu yonso yina ke salaka mambu ntinu-ntinu ta suka kibeni na kinsukami.”
“Kuwa boma ve, sambu mono kele ti nge. Kudiyangisa ve, sambu mono kele Nzambi na nge. Mono ta pesa nge kikesa, ee, mono ta sadisa nge, mono ta simba nge mpenza ngolo na diboko na mono ya kitata ya lunungu.”
“Nani na kati na beno lenda yika nda ya luzingu na yandi ata fioti kana yandi ke kudiyangisa?”
“Beno kudiyangisa ve ata fioti sambu na kilumbu yina ke landa, sambu kilumbu yina ke landa ta vanda ti basusi na yo. Konso kilumbu ke vandaka ti bampasi na yo.”
“Beno zikisa mambu ya kuluta mfunu.”
“Beno kudiyangisa ve sambu na konso kima yina, kansi na mambu yonso na nzila ya kisambu mpi ntangu beno ke bondila ti kupesa matondo, beno zabisa Nzambi mambu ya beno ke lomba; ebuna ngemba ya Nzambi yina me luta mayele yonso ya kubakisa mambu ta tanina bantima na beno mpi mabanza na beno na nzila ya Kristu Yezu.”"	7e58f575213c3d34f99a1e07cf66e0d8
				"Khumbu zinkaka dilenda ba dyambu di phasi beni kuyilemvukila befu veka mu mambi tuvanga kumbusa, kheti Yave wu tulemvukila. Vayi tulonguka mu lukutukunu lu mavula tuba mu mvu 2016 lwaba tubila ntu dyambu: “Continue Leal a Jeova!” mu dilongi diba ayi video. Sadila JW Library mwingi lu bwe tala theti video beni, bosi vana mimvutu mi byuvu binlanda:
Mimvu mi kwa Sonja kadukisa tona kabotuka mu kimvuka?
Matangu mbi ma Kibibila bakhulutu ba kimvuka batangila Sonja, ayi bwidi mawu mansadisila?
Bwidi zikhomba baba tadilanga Sonja bo kavutuka mu kimvuka?
Mayindu mbi maba twadisa Sonja phasi, ayi bwidi tat’andi kansadisila?"	08e412a44dd30457499e51cb3b546943
