"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"Rina Gaioni
Rina Gaioni (Milan, 1889 – Zena, 8 agosto 1984), a l' è stæta un' attrice teatrale. Rina Gaioni o l'ea un nomme d'arte; all'anagrafe a l'ea Caterina Franchi; conosciüa anche con o nomme da maîä Rina Govi e con o pseudonimo de Gigia Gaioni; a l' ea dîta anche Scià Rina.
BiografiaModìfica
Nasciüa a Milan, a s'ea trasferia da zovena a Zena dove in to 1911 a l 'aveiva conosciüo durante unna rappresentaçion Gilberto Govi. L'incontro o l'ea avvegnüô ao Teatro Nazionale, l'odierno Teatro da
... 
a l' intrava in to mondo do teatro exibindose con a compagnia dialettale de Govi, recitando in tütte e commedie con sö maio: I manezzi pe majâ na figgia, Pignasecca e Pignaverde, Colpi di timone, Quello buonanima, Gildo Peragallo, ingegnere, I Guastavino ed i Passalacqua e Sotto a chi tocca. A l' ha parteçipou anche ae registraçioin de commedie goviane che a RAI a l' ha effettuou ä fin di anni 50 . Inoltre a l'ha interpretou o ruolo da vêgia in Schêuggio Campanna de Canesi.
Dopo a morte do maio 
...
ittoia. A l'è morta in to 1984 a 95 anni in ta clinica Montallegro, dopo che e sö condizioin de salüte se ean aggravæ a causa de complicaçioin de un intervento dopo a rottüa do femore. A riposa in ta tomba da famiglia Govi ao çimiteio de Stagien. Dui giorni doppo a sö morte a compagnia stabile do teatro dialettale zeneize a Milano Sotta a Lanterna a l'ha istituio in sö memoia o premio ""Rina Govi"".
In to 2007 l' è stæto intitolou in sö onore o teatro Rina e Gilberto Govi in via C.Reta, a Bôzaneo."	b133847269e1063848d5234990d0f835
				"Indærno per Levante ò per Ponente
Peschemmo cos’avemmo da ra rente.
VIII.
Che da dî tutte a fæto
Re grandeççe dri Doria ne manleva
L’originâ retræto
Dro Duxe Serenissimo GIAN-STEVA:
Onde ro Sô, da che foì Adam e Eva,
In queste ò in atre bande
Ommo non vì per cortexia ciù grande:
De dentro armao de charitǽ diviña,
Tra ri grendi grandissimo; e in sò stato
Basso, quanto ciù âto,
Quanto ciù ricco comme ra mariña:
Bon, giusto, pio, da tutti ben vosciúo,
A l’imperio no fæto, ma nasciúo.
IX.
Lê con giusta barança,
A ro Ricco, a ro Povero prescrita,
Giustiçia e Temperança
Compartirà con mente e con man drita:
A nisciun, benchè minimo, interdita
Sarà ra sò prezença:
A nisciun denegao porta e audiença:
Lê dra povera gente ro conforto,
Câa"	f4fbd65278f9aff7ca9a3c8acb8d3585
				"1 Chapter P èâ Ùé- Îü â ßæÎ çßîéúu ßæ SßæØ ÖéßSØ ÙôßZàæÑ ÂÚU â ÌÑ Ð ØÌæ ֻߨæ ñíéùðùñçïúðu ÂýÁæÑ H 1H çßîéúuñ ßæ çßîéúu Ùð ãuæ; SßæØ ÖéßSØSßæØ Öéß æ; ÌÍæ; ÙôÑ Ùé æ; ß àæñß àæ; ÂÚU âßæüçï ; â ÌÑ æîúuæèø; ØÌæ ë ÂØæ çãuøð; Ö»ßÙ ãðu ÂêØ «çá; ØæçÁâ ð ; ñíéùðù â Öô» âð; çïúðußëçh è; ÂýÁæÑâÌçÌ ÙðÐ. çßîéúu Ùð ãuæsßæø Öéß Ùé è ß àæ ÂÚU ÂÚUæ ØÌ æîúuæèø ÍèÐ ãðu ÂêØ «çá, ðúuè æââð ÂýæÍüÙæ ãñu ç æâ â ß àæ æ ßæüÙ Úð U çáâ è âìçì-ßëçh â Öô» ð mæúuæ ãéu üð ÌæÂØü Ñ ÀUè âìæù Âóæ ÚUÙð ð çü çùø çæì çßáøè ÁèßÙ ÂÙæUÙæ 
... 
æùéâæúu ÁèßÙ æ ÂÖô» ç Øæ ÁæØÐ üàæôâçùáî æ æîðàæ ãñu ç ÂýØð ßSÌé æèö»ßæù è ãñu, ÌÑ ÙécØ ô æçãu ç ßãU ÃØçQ»Ì ÂýæÌÃØ æ Öô» ÚðU, ç âè Ø è â Âçæ ð æéââñæu Ù ÚðUÐ âßüæðdu æøü ý Ìô ØãU ãuô»æ ç ÂýØð Áèßæ æ ÂÚU ÂéL á âð æîðàæ Üð ÚU ÖõçÌ Øæ æøæç ÁèßÙ ÃØÌèÌ ÚðUÐ ØãUæ ØãU ÂýàÙ ÆUæØæ Áæ â Ìæ ãñu ç ÁÕ Îü éçù æøæç ÁèßÙ ð ÌÙæ æ»ð ÕÉ ðu ãéu Íð Ìô çè ÚU ãuô Ùð éçq è Øæ Ùæ Øô ÙãUè è? ÂÚU ðeúu ô â ÿæ Îð¹ ÚU õúu ÙéÖß ÚU ð ßð ÖõçÌ ÁèßÙ æ âé¹ Öô»Ùæ Øô æãu ÚUãðU Íð? â æ æúu ØãU ãñu ç ÂýØð Âýææè ÖõçÌ ÕÏÙ âð éq ãuôùð ð é
...
âìôá ÙãUè ãuôìæ ãñu ç ßãUè ÖQ ãñu, ßÚUÙ ßãU ÂÙè ÖçQ æ ææù ÂýØð ÃØçQ ð Õæ ÅUÙð æ ÂýØÙ ÚUÌæ ãñuð Ö»ßæÙ ð ðâð Ùð ÖQ ãñ U çáù ô â Âý æúu ÖçQ -ææù çßìçúuì ÚUÙð ð Ùð â ÅU ÆUæÙð ÂÇ ðuð ßãU Ìô ÚUÙæ ãuè æçãu Ð ØãU Öè ãuæ»øæ ãñu ç Áô Ö»ßæÙ ð çîúu ð Áæ ÚU ØÌ ÖçQ Âêßü ÂêÁæ ÚUÌæ ãñu, ç Ìé Áô Øô ÂÚU ÎØæ ÙãUè ÚUÌæ Øæ Ø ÖQ ô æ æîúu ÙãUè ÚUÌæ ßãU ÌèâÚUè æðæè æ ÖQ ãñuð ÎêâÚUè æðæè æ ÖQ ßãU ãñu, Áô ÂçÌÌô ÂÚU ÎØæ ß L ææ ÂýÎíàæÌ ÚUÌæ ãñuð ßãU ÂÙð ô Ö»ßæÙ æ àææeì Îæâ â ÛæÌæ ãñu, È ÜÌÑ ßãU ÖQ ô âð ç æìæ SÍæçÂÌ ÚUÌæ 32"	8f136b908a51487cee517a4cfa46824d
				"be selo sapesero Duque volta il folio che troverai il cuore e adio
Gioia del mio cuore non so più cosa dirti di darti una stretta dimano Duque il bene che ti voglio e mi dichiarato tuo
Aff. Amante Carlin Somarelli.
Addio adio Addio Pronta risposta
Addio
Fedele a quanto te ho prumisso in te currispundenze che te ho mandou e settimann-e passè, ma accingo, da bun currispundente, fedele a o simpatico Manana, a tegnite ao currente de quanto o succede chi a Vaze.
Primm-a de tutto, a novitè ciù interes
... 
 no peu ese rutto da o fascino de dui baffetti castagni; ameno chè quella che dixian che a legge o galante a no se secce cunvinta che mangià pan cun pan a l’e roba da cugiuin.
Manana cao, te salùo a te scriviò quarcosa ancun in sce questo amù che o merita un studio prufundo da ’na mente cumme quella de Mantegazza o de Lumbruso.
Ciao. Un zuvenotto.
Da i Casciè. — O zuvenin do mandulin o ne manda ’na lunga lettera duvve o rebatte a unn-a pe unn-a tutte e b...elle cose che o g’ha scrito cuntro o ve
...
che ti saiesci diventou cuscì ricco!
— Ma che ricco. Sun sempre o Menego, o Meneghìn, cumme me ciamavi allua
— Saià, ma oua te se vedde appenn-a a ogni morte de vesco.
— Cose vurei sun quelle smurfiuse de mè muggèe e de mè figge che me tegnan sutto ciave cumme un prexiunè.
— Ti e bun, va là a lasciate menà po o naso.
— D'oua in avanti però veuggio ribellame, per dio sacramento!
— Bravo. Evviva l’allegria. Evviva o nostro cumpagno Menego!
— Evviva!
E tra la la lero, tralalero
ou la li lu lilu là!"	c1222331570025249aee00352fb08c39
				"Ra Gerusalemme deliverâ/Canto III.
CANTO III.
Tradûto in Lengua Zeneize
DA RO SIG. ITNOC OXUŒRBMA
PAST. ARCAD.
ARGUMENTO.
Sotta Gerusalemme zà l'Armâ
Se vedde unía: Clorinda ra reçeive
Da coraggiosa: Erminia innamorâ
De Tancredi a và zù comme ra neive,
Lê descrœuve Clorinda, e a ghe va mâ:
Dà Circasso a Dudon ra desgusteive
Morte: ro cianzan: poi Buglion comanda,
Che se tagge ro Bosco tutto a randa.
1
Era zà l'Arba, ma no ancon dro giorno
S'era sentîo sunâ l'Avemaria,
E Clorinda se dava intanto 
... 
era,
L'Aquila a vedde in ro celeste campo,
E a ro Ræ chi ghe dava ascì de l'œuggio,
A ghe dixe: Eìve là tutto ro scœuggio.
38
No gh'è con lê (ch'o pá un figgiœu da scœura)
Ni grande, ni piccin, chi ghe ra posse:
E Læcca, e Mæcca, e ra Valle d'Andœura
O l'ha giraoù: ra guerra o l'ha in tri osse:
Solo sei comme lê, che uscissan fœura,
Dre çittæ ne fareivan tante fosse;
Perchè tutto ro mondo a çærta gente
No basta manco da toccâse un dente.
39
O l'ha nomme Rinaldo: un raixo, un can,
Ch'o taggia ri 
...
 ghe fan scuggiâ
E lì taggia, streppella, caccia a terra
Che ghe pareiva peste, famme, e guerra.
76
Dezentegon ro bosco, e ghe fruston
Re ferrere dell'Orba, e de Maxon:
L'erba, per così dî, fin ghe streppon.
No lasciandoghe ciù manco un steccon,
Pensemmo noî comme l'azzebbibon!
O se pœu dî un fragello bell'e bon,
E ancœu ri lôvi pœuran dîghe addio,
Se âtro lœugo non han da fâ ro nîo.
FIN DRO III. CANTO.
- Due Fantocci rappresentanti Uomo, e Donna posti entro la Chiesa di Nostra Signora Coronata."	1e6d8a2c0fc732fc4c29fe4f36089724
				"Fab. (a parte vedendo Giaçintin-na) A l’è chì lê! a ven. Ah ah comme a l’è bella! comm’a l'è graçioza! che aria! che brio! che portamento! chi saræ quello che vedendora non s’in-namorasse? (alto) Dove andævo, cara carissima futura sposa dro vostro futuro sposo?
Giaç. Vaggo da ro Seattê, per fâ incetta de çerte bagatelle che me fan de besœugno.
Fab. Fæ benissimo, cara Giaçintin-na. S’avvixin-na ro tempo che sarei tutta mæ. Ælo vero? porrò comandâve à bacchetta: se divertiremmo, anderemmo in villa, anderemmo à ro teatro, à re feste de ballo. Mi sarò tutto vostro, e porei comandâme à mi, ælo vero? seivo contenta de questo matrimonio? popon-na cara.
Giaç. Contenta, e contentissima. Tanto ciù, che sin à quest’ora son stæta sotto ra scciavitù de mê poære. Se savessi quanto tempo è che sospiro d’êsse un poco in libertæ! non m’era mai de tardi de piggiâ marío, per poei fâ à mæ moddo. Sæ ringraçiao ro Çê, che me sei capitao voî per bon-na fortun-na, perchè aora m’appareggio à dâme bon tempo, à refâme de quello che hò perso; e siccomme voî sei un-na çimma de galantommo, e sei vive, son çerta che anderemmo sempre d’accordio comme muze,"	b208ec029e8e1cac86a7c221a72ddfa1
				"Alessandro Angelo Nazzareno Guasoni (Votri, 25 de mazzo do 1958) o l'é un poeta, commediografo e scrittô zeneise.
Vitta[modìfica | modìfica wikitèsto]
Lusciandro Guasoni o nasce à Zena-Votri a-i 25 de mazzo, giorno de Pentecòste e de eleçioin politiche in Italia, inte l'uspiâ vegio de via Camozzini; a moæ, Linda Murino (1921-2010), a l'é casænga, nasciua à Bòrzoi de poæ sardo e moæ zeneise; o poæ, Amilcare (1896-1970), o l'é un impiegou do Commun de Zena; originäio de Ferræa, i seu l'an portou i
... 
sciòrte L'òrto da madonnâ, libbro de liriche in zeneise, co-a prefaçion do Sergio Sileri, pe-i tipi da N.E.G. (Nuova Editrice Genovese). O guagna o primmo pòsto a-o ""Lauro d'Oro"", concorso de poexia in zeneise do Circolo M. Cappello. O parteçipa do 1983 a-o concorso tiatrale Anna Caroli bandio da-o Commun de Zena, co-a comedia ""Nuvie reusa a-o tramonto"", ma o no l'ottëgne nisciun reconoscimento e inte l'ötovie o â fa stampâ, torna da-a N.E.G. De settembre, o registra con V. E. Petrucci unna pont
...
contræto con l'Universcitæ de Innsbruck pe-o progetto do diçionäio online GEPHRAS - Das ABC genuesischer und italienischer Phraseme (Kollokationen und Idiome).[2] In sce propòsta do compoxitô Matteo Manzitti o scrive i testi pe'n ""Requiem"" inspiou a-o desastro do Ponte Morandi.
Nòtte[modìfica | modìfica wikitèsto]
- Antologia zeneise, in sce digilander.libero.it. URL consultòu o 10 dexénbre 2022.
- Gephras - Pagina prinçipâ, in sce romanistik-gephras.uibk.ac.at. URL consultòu o 10 dexénbre 2022."	5ab1cea271119ff97c148f9f4fd1e115
				"A
HUGO PLOMTEUX
Studioso preparòu in te na manëa segûa e completa,
o no l'ha solo incrementòu e dæto respio
internassionale a-i studi - pe tanto tempo
tegnûi da na parte - in scî dialetti liguri,
ma o l'ha ascì dimostròu, co-o stâ vixin
a-a gente di paixi de l'entrotæra ligure,
scinn-a imparâne perfettamente a parlata,
de ëse un vëo interprete e n'accanìo
difensô da modestia e da tenacitæ
caratteristiche da gente de Liguria
Zena, da-a Logia di Abbôuei do Popolo, 23 arvî 1978
[ Chiudi ]
Sito:
A Compagna
Pagina raggiungibile dalla pagina:
Vincitori dei Premi «A Compagna»"	7b90f32c5472d9a13d2c7ecc1c142159
				Ce ùÆ^þe aùMðûiþùe ^aRûZ gògêu baòhýZKê ^Reùe eLò ‘ ùaaò Rµòõ ù`Áòbûfþ (gògê Wò@ñû C›a)’ _ûkòZ jêGö iÚû^úd _eµeû @^ê~ûdú gògêu C_ùe ùWAñaû \ßûeû Leû_ @ûcôûu _âbûa jâûi _ûG ùaûfò ùfûùK aògßûi Ke«òö baòhýZùe ùi bf eûÉûùe ~ûA aWÿ cYòh ùjûA_ûeòa ùaûfò @bòbûaK Kj«òö Gjò _eµeûKê cû^ò ùicûù^ ^òRe 1ahðúd gògêuê ù^A ùÆ^þe KûÁâòùfû Wò cêiòð@û Mñûe GK _aòZâ iÚû^ùe GKZâòZ jê@«òö ùiVûùe aòQYû Keò [eùK gùjeê @]òK gògêuê gê@ûA \ò@û~ûGö _ùe ùKùZRY aýqò iAZû^ ù_ûhûK _eò]û^ Keò ùicû^u C_ùe ùWAñ Pûfò~û@û«òö Gjû_ùe _òfû C_eê Kê-\éÁò jUòMfû ùaûfò @bòbûaKcûù^ @ûgßÉ jê@«òö Gjòò aò_\R^K C›aùe ùWCñ[òaû aýqò ^òdªY jeûAùf gògêu Rúa^ _âZò bd [ûGö ùZùa G _~ðý« ùicòZò KòQò NUò^ûjñòö	0aaa203c662d1e7ba48fafb33b0fef97
				"oilily romper troetel baby rompertje voor meisjes, roze met een lieflijke Oilily print.
Sluit doormiddel van drukknoopjes aan de onderzijde. Gemaakt van super zacht stretch katoen.SEIZOENENNever out of stockKLEURENRozeMATERIAALKatoen 95%, Elastane 5%NL Merk Art.nr Naam Omschrijving Materiaal Afmeting Was   UK/US Brand Stylenr. Name Description Material  Size Wash   DE Marke Artikelnr. Name Beschreibung Materiaal Größe Washe   FR Marque Numéro darticle Nom Description Matériel Taille Laver   ESP Marca Número de artÃculo Nombre Descripción Material Tamaño LavadoÂ
Terug naar overzichtSchrijf een reactie"	8a4dfd87aa78b455274be37954ea55cf
