"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"Mitindo mya Alama na mwana mobali wa ye Sibiloni. Kokwaka mokapo 38. Mokapo 38 Sibiloni aniokwamaki mpo ya ntina ya bosembo—Lobiko lozali na Klisto, oyo azali bomoi mpe mwinda mwa mokili—Simbani mposa inso ya bino. Penepene na 74 Yambo ya Klisto. 1 Mwana mobali wa ngai, pesa litoyi na maloba ma ngai, mpo nalobi epai ya yo, kutu lokola nalobaki epai ya Elamani, ete mbala nzike lokola ekobatela yo mitindo mya Nzambe okozwa bomengo o mboka; mpe mbala nzike lokola ekobatela yo te mitindo mya Nzambe 
..........
aki anzelu wa ye mpo ya kosakola epai ya ngai ete nasengeli kotika mosala mwa bobebisi o ntei ya bato ba ye; iyo, mpe namoni anzelu moko miso na miso, mpe alobaki na ngai, mpe mongongo mwa ye mozalaki lokola nkake, mpe moningisaki mabele mobimba. 8 Mpe esalemaki ete nazalaki mikolo misato mpe butu isato o bolozi mpe nsomo ya bololo mingi koleka o bozo bwa ngai; mpe mokolo moko te, kina nabelelaki epai ya Nkolo Yesu Klisto mpo ya ngolu, nazwaki bolimbisi bwa masumu ma ngai. Kasi tala, nabelelaki "	1f0e384d76a9ed07bbec3e4dd0ef3bcd
				"عربي | English | Français | Lingála | Português | Soomaali | Español Koyangana ya TAN epesi bato bakutani makasi, mpe esali ete ba artistes bakabola misala, bayekola epayi ya baninga, mpe ba yeba ba vision na ba mposo na bango elongo. Oyo ezali bolamu makasi ya kokutanisa ba artistes – mpo na bayebana malamu ntango bakutani na ba oyo bazali kosala arts traditionnels – ezali likanisi ya bopete, nkasi ya ntalo mpo bato bakoki kosolosa mpe kobongisa ba roles na ba identités ya sika. Koyangana ya ko
..........
ato oyo bamesana kokoma pona kozwa ba bourse - Printemps 2023: Kokutana na ba artistes misusu, kokabola mosala, mpe koyekola na baninga - Automne 2023: Kosala ba mikanda ya marketing na ba professionnels (fotos/video/kokoma) Mituna mibale ya ntalo emonani na sima ya bayangana: Ba mposa ya kosalisa ba projets ya ba artistes na bamposa ya kolakisa ba pratiques traditionnelles na ba generation elandi. Mituna misusu ezali mposa ya ba esika ya repetition ya ntalo malamu, developement ya ba profession"	1f4e69dcd4851530aa673a41e4c2b6ec
				"Mokonzi ya sika ya RDC asengi lisunga ya Etats-Unis mpo kokokisa mosala oyo. ""Nazali awa mpo na kokweyisa système oyo ezalaki liboso. Naye kosenga na Etats-Unis etambola na biso na makambo oyo mpe ewumela soki te tokozala na nkwokoso,"" alobi M. Tshisekedi na bokutani na Council on Foreign Relations, na Washington. Nzokande, lingomba ya Joseph Kabila nde ezali na majorité na bisika nyonso : na parlement, na Senat mp eko simba na maboko bituka mingi. M. Tshisekedi asengi mpe lisungi ya Etats-Unis mpo na kobundisa mangomba basimba manduki na est ya RDC, maye mazali ba islamistes. Ayebisi ete RDC ekokota na mombongisi ya bikolo bibundisaka terrorsime (misala ya bobmangisi na mandoki). Alobi etumbu likolo ya bakonzi ya CENI ezali libunga. Akundoli ete mandat ya bakonzi ya CENI ekosila na juin. Mpo na ye, CENI esali mosala ya kondima ata ezalaki mpenza malamu ya kokota te."	0716f12b01e2695d069d9ff1c01d4d8c
				"Ba ndeko, Antoine Mandungu Bula Nyati « Tony Tony, Carbure » abotami na Kinshasa, le 14 septembre 1935. Azali mu Mbala. Asali école primaire epayi ya ba sango mpe na sima akoti na Force publique na 1952. Tango Congo ekomi lipanda, azalaki na pete ya Sergent. bembeni ya mosala mua soda, asali ba cours du soir na section commerciale tee aye kolonga yango. Na 1958, azui mise en disponibilite na Force publique, mpe akomi Rédacteur en chef ya Emancipation (journal) mpe azali ko signer ba articles na 
..........
 soviétique na Afrique. Tour à tour, azalaki Commissaire d’Etat na Orientation nationale (Ministre ya information), 23 février 1977, Travaux publiques et aménagement du territoire. Kobanda na 21 janvier 1978 tee na 18 janvier 1980, Gouverneur ya ville ya Kinshasa. Wuta 18 janvier 1980 tee na janvier 1985, Gouverneur ya Région ya Shaba (province ya Katanga). Na septembre 1984, tango azalaki kaka Gouverneur ya région ya Shaba, akeyi na République Fédérale ya Allemagne (R.F.A.) na formation spécial"	16466f776d99ce2ed6153815c00eac9a
				"Tabu fatu maman na copréssor marie france tala koko Mbaki Tabu fatu na copréssor maman marie France tala koko Mbaki na ngai aké! Ndeke asengaka loso asengaka te avion. Maloba Dabu ayébisaki ngai soki ezalaki makoma mbele ekomama ngai na nzoto na lakisa yé po akanisa peut être ako changer idée Dabu fatu Dabu fatu. Sélection des chansons du moment. Même à ma mort ou même à ma vie, Tabu. Chnson ,vers- moi ,vers-moivers-moi x2. Na zanga papa, na zanga Faustin, na zanga Maman Monique. Vous êtes passi
..........
a ata lipuha moko ya malonga na sala pona yo. Ata ba oyo ba leki yo na beaute cia nga naza kuna té. Les paroles sont déjà en ligne: Vers-moi, vers- moi, vers-moi, vers-moi. Bonjour Trésor, tu as un peu rompu le contact!!!! Tout Le Monde Danse. Na zanga papa, na zanga Faustinna zanga Maman Monique. Naza na nzala kasi na sengi na ngai bolingo naza maniolo kasi na ségui na ngaéi bolingo mokolo na ko coutana na nzambe ngai nako ségayé Thethelito julie tougiléé koko Rubenga DAÏDA MOLéKA papito kilala"	76aff4b15a31b7beab75b693ec9bc685
				"Etienne Tshisekedi entre le marteau du soulèvement populaire et l’enclume du dialogue lance un message aux congolais depuis Bruxelles…Suivez Mon souhait les plus ardents sont de voir ce papa diriger le grand KONGO même pour un jour. tu es foux, un imbessile comme lui petit il y a pas l’opposition dans ce pays tika ba jeux NZAMBE A BATELA YO YA TSHISHI BRAVO BRAVO POUR CETTE ORGANISATION GOOD BLESS YOU Ya Tshishi, Nzambe a batela yo. C´est une question de temps. okokoma Président ya RDC ezala nde
..........
O PO TO REGNE…PLUSTARD: L’ UNIFICATEUR-PACIFICATEUR-RENSEMBLEUR NO:1 Merci, Pona liberation,Mais to veuiller et protegeons qui que ce soit azali congolais.” P. Tshi ” To lembi Camehre reh reh, asumba na nganda et il doit sortir du pays. Sick and Tired for Kengo W./V.Kamerhre IBOBO/INGETA mes frere et soeur sirtout nous qui vivent sur terrain ce qui ce disaient DIASPORAT baza batu moko ya denge okoki ko miboma pamba pamba pour rien si nous sommes aujourd’hui boya eza bango nde bandimamaki motu oy"	7bff5d2d3a66d1e409cd696b76ce49a8
				"EFEZO EFEZO 1 1 Ngai Polo, mopostolo Ya Kristo Yesu na mokano Ya Nzambe, natindi mokanda oyo epai ya basantu [Ya Efezo]', bandimi kati na Kristo Yesu. 2 Tika ete ngolu mpe kimia oyo ewuti na Nzambe Tata na biso mpe na Nkolo Yesu Kristo ezala na bino. 3 Lokumu ezala na Nzambe mpe Tata ya Nkolo na biso Yesu Kristo, ye oyo apambola biso kati na Kristo, na mapamboli nyonso ya Molimo, na bisika ya Likolo. 4 Pamba te apona biso kati na Kristo liboso ete mokili esalama, mpo ete tozala basantu mpe tozal
..........
tolo, basusu baprofeta, basusu bapanzi Sango Malamu, basusu babateli, mpe basusu balakisi. 12 Asalaki bongo, mpo na kobongisa basantu basala mosala na bango, mpo ete nzoto ya Kristo etongama malamu, 13 kino biso nyonso tokokoma na bomoko kati na kondima mpe kati na koyeba Mwana na Nzambe, mpe kokoma bato penza oyo basi'bakoli, bato oyo basi'bakokani na bonene ya kokokisama ya Kristo. 14 Bongo tokozala lisusu bana mike te, oyo bazali kotindikama- tindikama na bambonge mpe komemama-memama bipai na"	98e0714baf2b831fbb67c17edc75eff7
				"Congomikili.com vous présente l’ interview du géneral Munene sur Radio bendele. Le général Munene qui avait été déclaré disparu, arrêté et même mort selon certaines informations officielles, s’ exprime sur plusieurs points. Na temps, suivez cette interview de Radio bendele ! 852 Commentaires **** ATTENTION,ATTENTION **** NASALI BA RECHERCHES EPA YA VOYANT MOKO HAITIEN A PRATIKAKA VODOOOOO,NAPESI YE LISTE YABA INTERNAUTES YA CONGOMIKILI ATA BA BEAUGARS NABA VILAINS ET APESI NGA REPONSE….. LISTE D
..........
er très bien les questions et les reponses y afférantes. Je crois que le journaliste n’a pas obtenu les reponses à toutes ces questions comme il le voulait. Il n’y a rien du nouveau dans le message du soi-disant Munene. Il n’a parlé que du problème social de la population. L’orateur n’a pas accusé Joseph Kabila de rwandais comme la plupart de “combattants de Londre et Belgiques”. Il a bien dit que lui ne parle pas des individus mais il parle du système. Le pauvre journaliste. Il doit se sentir v"	81988b17107000a3637d93145323984d
				M. Lola azalaki moko na lingomba ya politiki RCD/Goma eye ezalaki kala lisanga lya batomboki. Akomaki mokambi ya etuka ya kala ya Province orientale yambo na koponama bo’ mokeli mobeko mpe Sénateur. Akomaka mpe ministre ya malakisi ma likolo mpe boluki bwa Zebi (ESUR). M. Lola azalaki moko bayi FCC bamonanaki na misala mya koyoba bato président Felix Tshisekedi asalaki. Andimaki kokota na lisanga lilamu (Union sacrée) président Tshisekedi azali kokela. Bayi Sénat bapesaki losako ya suka na Awei mardi na moninga na bango mosusu Sénateur Célestin Kabuya Lumuna oyo akundami nsima na liwa lya ye mikolo mileki.	6a44152c38cae0b168d9f584c3b18652
				"KINSHASAMATADIMUBJI MAYILUBUMBASHIPWETOKALEMIEKINDUBUKAVUGOMABUNIAKISANGANIGBADOLITELUBUM BASHI?INGENDEEALAWAKASAMBAWENGABOYEKADJOMBOBOLOMBAWELEPiquetMONDJO / TOMBABoende MokeMBANGOWatsikengoITOTELALokoliaIBUTUBoendeDJOABOSO-MONDOMBAWIDJIFAKIBOSOMBESECLI WENDJIBOSO NDJALABOSO MBIFANTONDOBOSO MADIKANSIMBABOSO LIKUBUNKALAMBABOSO ISONGONIONIBOSO IKUBUNDOTEBOSO ELOMBEMpotia (Bloc 6)BOSO EKOMBOMPENZELEBOOMBAMPENDABONYEKAMpaha lokumuBONGBONGAMPAHA EPOLEBOMPANGAMPAHA BOLIABOMENGEMOSONDEBOMBIMBAMOOTOMoo
..........
DA, BODJIABOULAMAIYEMBE MONENEBOONDEIYEMBE MOKE/BOKENGIA/IBONZIBONGONGOINDJOLOBONGALEIndjoloILEMABOMBEMBEIKENGOBOLAKAELANGABOKUKUEKELEBOKENGEEHANGABOKATOLABWEMBETEBOENDE ETOBUYA 3BOALANGOMBEBUYA 2BELEMBABUYA 1BATSINA LIFUMBABOTENDE BOTALEMOMBOYO, IYANDABosengaMOHELIBOOKOMBULIBONSOLEMBONGOBONGONDE DRAPEAUMBOLOBONGONDE DJOLEMARINGOBONGONDE BOLONGOMAPEKEBongidjiITIPOBOBANDAILEBOBOBALAIKOKO IMPENGEBIKORO CENTREIBOKO / MPIKO/ ELINGOLA/ NZEMBENGABENGONGOBUTELABAOLONGOBOLENGEBIKOROBONDONGOMBANDAKA VILL"	148a95a67d42c8042b3c5ca5a40061a5
