"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"Bible ku Enternete | BIBLE—NKUDIMUINU WA BULONGOLODI BUPIABUPIA Mukanda wa Kumpala wa Kulondolola 5:1-26 - Ndelanganyi ya Lubena (1-10) - Ndelanganyi ya Gada (11-17) - Badi batshimuna bena Hagâ (18-22) - Tshitupa tshia tshisa tshia Manashe (23-26) 5 Aba mbana ba balume ba Lubena,+ muanabute wa Isalele. Yeye uvua muanabute, kadi bu muvuaye munyange bulalu bua tatuende,+ bakafila bukenji buende bua buanabute kudi bana ba balume ba Jozefe+ muana wa Isalele, ke bualu kayi kabavua bamufunde mu dilond
... 1628 chars skipped ...
balume wa Mikaele muana wa balume wa Yeshishai muana wa balume wa Yado muana wa balume wa Buza. 15 Ahi muana wa balume wa Abediele muana wa balume wa Guni uvua ku mutu kua nzubu wa batatuabu. 16 Bavua basombele mu Gilada,+ mu Bashana+ ne misoko ivua kumpenga kuende, ne mu mpata yonso ya kudishila nyama ya Shalona too ne ku ndekelu kuayi. 17 Bavua bafunde mêna abu bonso bilondeshile dilondangana dia mêku abu mu matuku a Yotama+ mukalenge wa Yuda ne mu matuku a Yalobama+ mukalenge wa Isalele. 18 B
... 1628 chars skipped ...
"	c4dc915d5cf25d7f63408251ee342e02
				"1932 1 1 KU bubangabanga kwakakala Diyi, yi Diyi diakakala yi Ncembi, yi Diyi diakakala Ncembi. 2 Yei akakala ku bubangabanga yi Ncembi. 3 Bintu bioso biakapangibwa kudiyi ; kutena you, kintu kipanga kakinako kitapangayi. 4 Munda mwanci mwakadi môyo ; yi môyo ǎkadi obo a bantu. 5 Yi obo amalumuka mu mwedima, yi mwedima ǎkadi kausomukyendula. 6 Muntu akadiko, amatumibwa kudi Ncembi, dina dienci ene, Yoano. 7 Yei akalwa bwalo bwa ntôbô, bixetôbôlelayi obo ntôbô, bixekwetabusa bantu boso kudiyi. 8 
... 48722 chars skipped ...
 meso a bafofo? 22 Kitula lolo kia kubalolebwa kwa tempelo kiakadiko, ku Yelusaleme ; kwakadi ngondo ya maxika. 23 Yi Yisu akakwendakana ku tempelo ku mbalanda a Solomono. 24 Mbwôso bena Yuda bakamudinga, yi bakamwambila ene, Pôi kikondo kai panakwelexesa Owe micima yecu mbata? Ndo Owe udi Kalistu, ututôyeli sôsôlwo. 25 Yisu akabambila ene, Nakanwambila, yi kanusokwetabusa. Makisa angwencenca ku dina dia Tetemi, ka aa angwatôbôlela ntôbô ; 26 kate nonu kanusokwetabusa bwalo bunutena mikwakwa yam
... 48722 chars skipped ...
"	0f042c45f5a286bdeb2b5408bfa2f749
				"BUALU BUDIBU BAMANYISHA PA BULOBA BUJIMA Bitendelelu bia dishima mbitendelelu kayi? Bitu bikutonda pautu umvua ne: bamue bantu mbenze malu mabi mu dîna dia bitendelelu biabu anyi? Utu umvua bibi pautu umona bantu batu badiamba mudibu bena nzambi badibueja mu mvita ne mu malu a terorisme anyi a ba nguluba wa tshinyangu badi bashipangana anyi bakosangana mishiku ne babakosayi anyi? Bitendelelu bidi bidibueja mu malu mabi a bungi nunku bua tshinyi? Anu bitendelelu bia dishima ke bitu bidibuejakaja 
... 3553 chars skipped ...
ne bubanji bupite bungi. Udi kabidi ne malu a bademon adiye ‘udinga nawu bantu ba mu bisamba bionso.’ (Buakabuluibua 17:18; 18:12, 13, 23) Bible udi utuambuluisha bua kuamba ne: ndumba eu mbitendelelu bionso bia dishima bidi pa buloba. Nanku, ki ntshitendelelu tshimue to, kadi mbitendelelu bionso bidi bienza malu mabi. Nyama udi ndumba mubande eu mmatunga onso a pa buloba adi ne bididi bia mishindu yonso.* (Buakabuluibua 17:10-13) Bitendelelu bia dishima mbibande pa nyama eu mu ngumvuilu wa ne: 
... 3553 chars skipped ...
"	436bfe8ec689d0fddd3d9433fa5955d7
				"Pavua Yezu ufuma mu Peleya, wakafika ku tshibuelelu tshia Betania, musoko uvua mu kilometre mitue ku 3 ku est kua Yelushalema. Mâta ne Mariya bana babu ne Lazalo badi badila bua mudi Lazalo ufuma ku difua. Bantu ba bungi mbalue kubasamba. Pashishe muntu kampanda wakambila Mâta ne: Yezu ukavua pabuipi, nunku Mâta wakaya lubilu bua kutuilangana nende. Mâta wakambila Yezu ne: yeye ne muanabu bavua pamuapa badiambila munkatshi mua matuku anayi ne: “Mukalenge, bu wewe muikalapu, muanetu kavua mua kuf
... 1022 chars skipped ...
muambile bapostolo bende. (Matayi 16:21; 17:22, 23) Yezu uvua ushindika ne: kuleja ditabuja kudiye kudi mua kufikisha ku muoyo wa kashidi. Bantu ba bungi nebapete muoyo eu ku diambuluisha dia dibishibua ku lufu. Kadi bena lulamatu bikale ne muoyo ku nshikidilu wa ndongoluelu eu pamuapa kabakufua to. Nansha nanku, muntu yonso udi uleja ditabuja kudiye udi mua kuikala mutuishibue ne: kakufua lufu lua kashidi to. Kadi Yezu uvua ufuma ku diamba ne: “Meme ndi dibishibua ku lufu ne muoyo,” uvuaku mua 
... 1022 chars skipped ...
"	f9d18e2d54b2a0bf89587e7cce3dfd27
				TSHIBUMBA TSHIA NSENTEDI (TSHIA KULONGA) Ngondo 5 2017 Mu nimero eu mudi biena-bualu bua kulonga kutuadijila mu dia 3-30/7/2017. Biwikala muledi udi musombele mu ditunga dienyi, mmunyi muudi mua kupetesha bana bebe mpunga mutambe buimpe wa kumanya malu a Yehowa? Mmunyi mudi bantu bakuabu mua kuambuluisha? LIFE STORY Walter Markin kena mua kuakula to, kadi udi ne nsombelu wa disanka ne malu mimpe bidiye mupete mu dienzela Yehowa Nzambi mudimu. Bamue bena Kristo ba mu bidimu lukama bia kumpala bakalekela dinanga dia kumpala divuabu nadi. Ntshinyi tshidi mua kutuambuluisha bua kulama dinanga dietu dia Yehowa dikole? FROM OUR ARCHIVES Pakajika mpungilu wa Balongi ba Bible mu 1922, mmunyi muvuabu batumikile mubelu wa ‘kumayisha Mukalenge ne Bukalenge buende’?	29992f15e7644fecd75a41a8d938cad2
				"Bible ku Enternete | BIBLE—NKUDIMUINU WA BULONGOLODI BUPIABUPIA - Buondoke bua butontolodi bua Isalele (1-5) - Isalele ne Yuda mbapile bua masandi (6-11) - Dibikila bua kunyingalala bua mpekatu (12-25) 3 Bantu badi bakonka ne: “Mulume yeye muipate mukajende, ne yeye mumbuke kudiye, mulue mukaji wa muntu mukuabu, mulume au udi ne bua kupingana kabidi kudiye anyi?”Buloba abu ki mbunyanguke bikole menemene anyi?+“Udi muende masandi ne bena diebe ba bungi,+Ne mpindieu udi ne bua kupingana kundi anyi
... 1925 chars skipped ...
tshiji kashidi to. 13 Wewe itaba anu bubi buebe, bualu udi mutombokele Yehowa Nzambi webe. Wewe uvua mutungunuke ne kutangalaja mubidi webe kudi benyi muinshi mua mutshi wonso udi musampile bikole, kadi kuvua mutumikile dîyi dianyi,” ke mudi Yehowa wamba.’” 14 “Pinganayi, nuenu bana bantomboji,” ke mudi Yehowa wamba. “Bualu ndi mulue mfumuenu mulelela; ne nennuangate, umue mu tshimenga kampanda ne babidi mu dîku kansanga, ne nenye nenu ku Siona.+ 15 Nennupeshe balami ba mikoko badi benza malu bu
... 1925 chars skipped ...
"	82ffb4844d8054008a90903468a4856e
				"Mu dia Matuku dikumi ni muanda mutekete dia ngondo wa tshiteme, ministre wa malu a ngumu Patrick Muyaya, udi ulomba bena Kongre bua kuluangana bua kulombola mudimu wa bamanyishi mu ditunga dia Congo biakane. Mfumu wa malu a dimanyisha wakabikidisha bemanyishi bonso bua kuenza mudimu muimpe bua kuakula bua mushindu muimpe wa kuenza mudimu wa dipatula mikanda mu Congo-Kinshasa. Mu muyuki wende kumpala kua bamfumu ba mbulamatadi ne ba bampulushi, ne bafundi ba bikandakanda, ministre wa malu a ngumu
... 412 chars skipped ...
Ngamba-malu wa mbulamatadi wakanyisha mushindu uvua Mfumu wa ditunga ulonda ngenyi ya mu bikandakanda. “Padiye uteleja bimanyishilu bia malu a mu bikandakanda, udi uleja dituku dionso ne bienzedi biende ne: demokrasi udi ne muoyo mu Afrike. Etshi ntshilejilu tshidi bena mu ditunga edi ne bena mu matunga makuabu mua kulonda. Mu lungenyi elu ke mudi mfumu wa mbulamatadi utungunuka ne kutulongesha”, ke mudi mfumu wa tshibambalu tshia malu a ngumu tshia Congo wamba. Katupa kîpi kumpala kua muyuki eu
... 412 chars skipped ...
"	821d18d7bc2c67625cd04d2b11126949
				"1 Mufundi wa mukanda eu udi umanyisha Teofilo mudiye umufundila 1 Teofilo, mu mukanda wa diambedi nakafunda malu onso akabanga Yesu kuenza ne kuyisha bantu 2 tô ne ku dituku diakangatshibueye mu diulu, hakamaneye kuambika bapostolo bakasunguleye mikenshi yandi kudi Nyuma Muimpe. Malu akenza Yesu hakabikeye ku lufu 3 Hakamaneye kukenga, wakamueneka kudibo ne muoyo, bimanyinu bia bualu ebu biakadi bia bungi, wakamuenekamueneka kudibo nunku matuku makumi anai wamba malu a bukelenge bua Nzambi. 4 Ha
... 67505 chars skipped ...
 edi. 3 Bena ekelesia bakabashindikila, bakahitshila mu Foineke ne Samalea, benda bambila bantu bua kukudimuna kua mitshima kua bisamba bia bende ; bakatamba kusankisha mitshima ya bana babo bonso ba mu Kilisto. 4 Hakafikabo ku Yelushalema, bakabitabusha kudi bena ekelesia ne kudi bapostolo ne bakulu ; Paulo ne Bânaba bakabambila malu onso akenza n’abo Nzambi. 5 Kadi bakuabo ba mu luseke lua Bafalese, bakadi bamane kuitabusha, bakabika bamba ne, Butudi n’abu mbua kutengula ba bisamba bia bende, 
... 67505 chars skipped ...
"	8170b2f3c123188d09bf3a4f85bfa832
				"Bible ku Enternete | BIBLE—NKUDIMUINU WA BULONGOLODI BUPIABUPIA Mukanda mutumina bena Ebelu 2:1-18 - Kuteya ntema kupita pa tshibidilu (1-4) - Bintu bionso ku bukokeshi bua Yezu (5-9) - Yezu ne bana babu (10-18) 2 Ke bualu kayi bidi bikengela tutume ntema ku malu atudi bumvue+ kupita ntema ya pa tshibidilu bua katupambuki nansha kakese.+ 2 Bualu bikala dîyi divuabu bambe ku butuangaji bua banjelu+ dilue dilelela, ne dishipa dia mikenji dionso ne tshienzedi tshionso tshia dibenga kutumikila bipet
... 1112 chars skipped ...
i buende to.+ 9 Kadi tudi tumona Yezu, uvuabu bapuekeshe kakese kuinshi kua banjelu,+ mpindieu muasa tshifulu tshia butumbi ne bunême bua muvuaye mukenge too ne ku lufu,+ bua alabuile muntu yonso lufu ku ngasa wa Nzambi.+ 10 Bualu bivua bikumbane bua Nzambi udi bintu bionso bikalaku bua bualu buende ne ku butuangaji buende,+ bua kufikisha bana ba bungi ku butumbi, avuije Mulombodi Munene wa lupandu luabu+ mupuangane kupitshila ku makenga.+ 11 Bualu muntu udi uvuija bantu ba tshijila ne bantu bad
... 1112 chars skipped ...
"	37a116b3ea44d4fccd6ac0378b9434ce
				13 mars 2008 Tshitaala wa kusama kokodioko,Wasama, wasama, wela dîyi,Wela dîyi pa bitaala bionso,Nkumba tshidimee…, mwanyi kamwemu,Tshidimee…, mwanyi kamwemu,Tshidimeee… Biangata mu tshibejibeji tshia : Tshondo 13 mars 2008 Bukalenga bonso wabudia ne bantu e nanku buakulengeleela. Mukalenga wa baantu, baantu wa mukalenga. Mukalenge katu ukuata mudimu nkayende, utu ne badi bamutua nyama ku mikolo. Bine abo ke boobo aba: • Muadiamvita : Udi mfumu wa tshiluilu tshia mvita. Ulamisha bulongame mu ditunga. • Kalala : Udi tshindonda tshia Muadiamvita. Uludika tshiluilu : ufileela kumpata kwa lusengenge lua mvita bwa kuleeja pa kuyila ne budimu buvule bua kuepela njiwu, ujingulula luseke ludi baluishi bavuila, bungi buabo ne bukole buabo. •... [Lire la suite]	bdd642a758b0edffd45feca4ed750d94
