"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"Yɛ la d tõe n paam sagls sẽn yaa sõma?
Wãn to la m tõe n kogl m laafɩ wã?
Bõe la m tõe n maan n paas m zakã sũ-noogo?
Bõe la m tõe n maan n da wa kɩt tɩ b yiis-m tʋʋma?
RẼ YĨNGA yãmb zoe n soka y meng sogs-kãensã bɩ? La y paama leoor sẽn sɩd sõng-y bɩ? Yʋʋmd fãa, sɛb toɛy-toɛy sẽn na maan bãmb 2000 sẽn kõt sagls sogs-kãensã la b taab sẽn tar yõod zut la b yiisda. Wala makre, Gãrãnd Bertayn soolmẽ wã bala, yʋʋmd fãa, nebã yiisda hal sẽn yɩɩd b tẽngã ligd milyõ 80 n daad sɛb sẽn kõt sagls sẽn na s
... 
a y yembr n dat sagl-sõma sẽn na yɩl n welg y zu-loeesã ye.
Seb-kãensã sõor ka tɛkã sẽn kõt sagls ninsã wɛɛngẽ, seb-gʋlsd a yembr yeela woto: “Seb-paal wʋsg sẽn kõt sagls ninsã yaa sagls sẽn da zoe n beẽ.” Sɩd me, sagl-kãens yaa sagls sẽn zoe n be seb-kʋdr a ye pʋgẽ. Seb-kãng yaa b sẽn pʋɩt a soab n yɩɩd dũniyã gill zugã. B lebga a gillã wall a babs ne buud goam sẽn na n maan 2400. Sẽn paase, b yiisa a gillã hal sẽn yɩɩd bãmb milyaar a 4 la pʋɩ-sʋka. Seb-kãngã pa a to n zʋʋg Biiblã ye.
Biiblã me
...
 tɩ zãms tɩrlem.” (2 Tɩmote 3:16) Yaa sɩd tɩ pa sẽn na yɩl n kõ-d sagls yĩng bal la b gʋls Biiblã ye. Sẽn yɩɩd fãa, b gʋls-a lame n na n wilg ãdem-biisã Wẽnnaam sẽn na n maan bũmb ning n kõ-ba. La baa ne rẽ, Biiblã tara sagls wʋsg sẽn wilgd d sẽn tõe n mao ne zu-loeesã to-to. A leb n wilgdame tɩ neb nins sẽn tũud a saglsã tũud-b-la b mens nafr yĩnga. (Ezai 48:17, 18) Baa y sẽn yaa buud ning ned la b sẽn wub-y to-to fãa, pa rẽ bɩ y bãngrã sẽn yaa to-to fãa, y sã n tũ Biiblã saglsã, y na n nafame."	1f03b49c4d94465daf7851656e9c5111
				"Dũniyã gill zugu, neb n zemsd taaba
NE YÃMBA, zems-n-taar yaa bõe? Ne kẽere, yaa neb sẽn na n be ne taab tɩ zabr bɩ no-koɛɛm kaẽ bala. Wala makre, ne sãnda, tẽns ne taab wall tẽng ne a to sã n maan zems-n-taar kaoola, b tõe n yeelame tɩ b zemsda taaba. La rẽ yĩnga sɩd yaa woto bɩ? Pa woto tɩlae ye.
D tẽeg tɩ hal pĩnd n tãag masã, zems-n-taar kaool toɛy-toɛy la tẽns kẽer maanẽ la pa yãk neng ye. Bõe yĩng tɩ pa yãk nenga? Yaa tɩ naoor wʋsgo, sẽn pak dũniyã nanambs n yɩɩd yaa b naamã lakae, pa laaf
... 
21:4.
D tõe n basa yard ne kãab kãensã. Bõe yĩnga? Bala Wẽnnaam a Zeova sẽn yaa bũmba fãa Naandã tara pãng la tõog n tõe n kɩt tɩ ãdem-biisã zems taaba. (Luk 18:27) Sẽn paase, a rat n maana woto. Biiblã wilgdame tɩ rẽ yaa bũmb ning Wẽnnaam “sẽn pĩnd n yãk yam n na n maanã.” A rat n kɩtame tɩ “bũmb fãa sẽn be yĩngr la sẽn be dũniyã sak Kirist.”—Efɛɛz rãmba 1:8-10.
Wẽnnaam a Zeova sẽn pʋlem ãdem-biisã ‘tẽn-paalg tɩ tɩrlem na n zĩnd a pʋgẽ’ wã pa belgr ye. (2 Pɩɛɛr 3:13) A yeela woto: “Gomd ninga s
...
ã n paase, bɩ y ges Biiblã sɩd yetame tɩ bõe? sebrã sak a 3 wã pʋgẽ. A Zeova Kaset rãmbã n yiis seb-kãnga.
[Goam sẽn tar pãngã, seb-neng a 4]
Zems-n-taar kaool toɛy-toɛy la b maan tɩ pa yãk neng ye
[Goam sẽn tar pãngã, seb-neng a 7]
Biiblã noyã tũub waa ne zems-n-taar buud dũniyã nanambs sẽn pa tõe n kɩt tɩ zĩndi
[Foto, seb-neng a 5]
Wẽnnaam Gomdã wilgda sẽn na n kɩt-a tɩ dũniyã gill neb zems taaba
[Foto, seb-neng a 7]
A Zeova Kaset rãmb sẽn yaa Hutu la Tutsi rãmb sẽn naag taab n met Rĩung Roogo"	facb17fb44f584d97b018d8067cb7dd3
				"“Maan-y taab neere, la y zoe taab nimbãanega.”—ZAKA. 7:9.
YƖƖLL 107 D tall nonglem wa a Zeova
D SẼN NA N YÃ WÃ *
1-2. Bõe yĩng tɩ d segd n nong d taabã ne nonglem-kãsenga?
D SEGD n nonga d taabã ne nonglem-kãsenga. * Wãn to la rẽ nafd tõndo? Bɩ d ges Biiblã sẽn leokd sok-kãngã to-to Yel-bũn sebrã pʋgẽ. B yetame: “Ra sak n bas maan-sɩd la pʋ-peelem ye. . . . Woto, Wẽnnaam ne nebã na n pẽga foom, la b suur na n yɩɩ noog ne-fo.” “Nin-sõng maanda a meng neere.” “Ned sã n baood tɩrlem la maan-neere, 
... 
oge. La a Rut sũurã loee ne a sɩd-ma wã.” (Rut 1:6-14) A Orpa saka a Naomi sẽn yeelã, n sɩd leb Moaab. La a Rut yẽ pa sak n lebg ye. A ra tõe n yãka yam n lebge, la a sakame n na n pa, sẽn na yɩl n sõng a sɩdã ma sẽn da rat sõngrã. (Rut 1:16, 17) A Rut yãka yam n pa ne a Naomi, la pa rẽ sẽn da yaa tɩlɛ yĩng ye. Yaa a meng sẽn da rat rẽ wã yĩnga. A Rut sẽn yãk yam ningã wilgdame t’a ra nonga a Naomi ne nonglem-kãsenga. Yam-bʋg la d tõe n dɩk kiba-kãngã pʋgẽ?
14. a) Bõe la saam-biis la saam-bi-pog
...
va ratame tɩ d nong d tẽed-n-taasã ne nonglem-kãsenga. D sã n ges pĩnd wẽn-sakdb kẽer sẽn wilg to-to tɩ b nonga b taabã ne nonglem-kãsengã, tõe n sõng-d lame tɩ d bãng tall nonglem-kãseng sẽn dat n yɛɛlga. Sõs-kãngã pʋgẽ, d na n yãa yam ning d sẽn tõe n dɩk a Rut, a Naomi la a Boaaz kibarã pʋgẽ.
^ sull 1 Biibl kẽer pʋsẽ, b lebga gom-bil ning sẽn yaa nonglem-kãsengã tɩ nonglem, maan-neere, maan-sɩda, la nimbãan-zoeere. Sõs-kãngã pʋgẽ, vɛrse kẽer sẽn gomd maan-neerã yellã võor yaa nonglem-kãsenga."	1a4c7318c760abbd4765182e261e93f4
				"Yãmb mi n dat n maana vaeesg n paas y bãngrã Biiblã zug bɩ? B goma ned yell Biiblã pʋgẽ, wall yaa zĩig bɩ bũmb a to tɩ y rat n bãng sõma bɩ? Zu-loɛɛg la y tara, n dat n bãng Wẽnnaam Gomdã sẽn tõe n sõng-y tɩ y welg-a to-to bɩ? Sã n yaa rẽ, bɩ y bãng tɩ Rĩungã roog sɛb bĩngr zĩigã tõe n sõng-y lame.
Bũmb nins sẽn tõe n sõng-y tɩ y maan vaeesgã bee be. Tõe tɩ y pa tar sɛb nins fãa a Zeova Kaset rãmbã sẽn yiisã ye. Sɛb wʋsg n yaool n be Rĩungã roog sɛb bĩngr zĩigẽ. Wakat ning me, Biibl dãmb toor-to
... 
ɩ tigissã sɩnge, la b saabã poore, ned fãa tõe n maana vaeesg beenẽ. Ordinatɛɛr sã n be be, b tõe n ninga Watchtower Library a pʋgẽ, tɩ f sã n pak-a bɩ f tõe n yã tõnd sɛb buud toor-toor n karme, n tõe n gẽes vɛrse bɩ gom-biig võore, la f tõe n bãng b sẽn wɛgs goam kẽer to-to.
Sõngda Wẽnnaam tʋʋmdã lekoll karen-biisi. Tigingã sɛb bĩngr zĩigã tõe n sõng-y lame tɩ y segend y sõssã sõma. Yaa Kiris-nebã vɩɩm la b tʋʋma tigsgã yel-gɛt n get sɛba bĩngr zĩig yelle. Yẽ n get tɩ b ningd sɛb nins sẽn yi p
...
ãmb Biiblã tõe n wilg-y-la y sẽn tõe n maan vaeesgã to-to. La d pa tog n dɩk sebr beenẽ n zã n loog ye. Sẽn paase, d tog n gesa sɛbã yell sõma la d ra gʋls b pʋsẽ ye.
Biiblã yetame tɩ d sã n dat n ‘yã Wẽnnaam bãngrã sẽn yaa to-to,’ d segd n sakame n bao-a ‘wa ned sẽn baood arzɛgse.’ (Yelbũna 2:1-5) Rĩungã roog sɛb bĩngr zĩigã tõe n sõng-y lame tɩ y sɩng rẽ maanego.
Bõe n be Rĩungã roog sɛb bĩngr zĩigẽ, n tõe n sõng-y tɩ y maan vaeesgo?
Ãnd n tõe n sõng-y tɩ y bãng n maan vaeesg sɛbã bĩngr zĩigẽ?"	3489d2fd9af53ffef0f955a088692930
				"Ninsaalbã naaneg tɛka, yaa d Naandã yʋʋr sẽn yaa a Zeova wã bal n da rɩt naam. Bũmb nins fãa a sẽn maan n kõ ninsaalbã yaa a sẽn nong-bã yĩnga. A maana zĩ-neer b sẽn boond tɩ Edɛnne, tɩ ninsaalbã na n vɩɩmd a pʋgẽ. Sẽn paase, a naana bũmb toor-toor b sẽn tõe n dɩ. A leb kõ-b-la tʋʋmd sẽn be yamleoog wʋsgo. (Sɩngre 1:28, 29; 2:8, 15) Ãdem-biisã sã n da kell n sak Wẽnnaam naamã, b ra na n zĩnda ne laafɩ.
Biiblã wilgdame tɩ malɛk n lebg kɩɩsda, n yeel tɩ Wẽnnaam pa tar sor n na n dɩ naam ninsaalbã 
... 
t sẽn kõn sa ye. (Sɩngre 3:17-19) B yam-yãkrã waa ne zu-loees b kambã zug me. Biiblã yeelame t’a Ãdem beegrã yĩnga, ‘yel-wẽndã kẽe dũni wã, tɩ kũum tũ ne yel-wẽndã n wa.’ (Rom dãmbã 5:12) Yel-wẽndã waa ne yell a to me. Ad Biiblã sẽn yete: “Ninsaal tõe a to n maand-a wẽnga.” (Koɛɛg soaba 8:9) Koɛɛg-koɛɛga, ninsaalbã sã n dɩt naam, wakat fãa wata ne zu-loeese.
NINSAAL SẼN SƖNG NAAM RƖƖB WAKAT NINGA
Pipi ninsaal sẽn sɩng naam rɩɩb tɩ Biiblã gomd a yell yɩɩ a Nimroode. A kɩɩsa a Zeova naamã. Sẽn sɩn
...
tɩ wẽngã fãa be rũndã-rũndã wã.”
WAKAT TAAME TƖ YƐLÃ SEGD N TOEEME!
Ãdem-biisã rata neb sẽn na n dɩ naamã sõma, la naam buud sẽn zemse. Yaa rẽ la tõnd Naandã pʋlem tõndo!
Wẽnnaam lugla Rĩungu, bɩ goosneema sẽn na n ledg ninsaalbã goosneema-rãmbã, la sẽn na n ‘zĩnd wakat sẽn kõn sa.’ (Dãniyɛll 2:44) Yaa Rĩun-kãng yĩng la neb milyõ-rãmb sẽn pʋʋsda. (Matiye 6:9, 10) La pa Wẽnnaam meng n na n yɩ goosneema-kãng naab ye. A yãka ned sẽn zĩnd dũniyã zug ka, t’a na n yɩ Naaba. Yaa ãnda la Wẽnnaam yãk-yã?"	a7e0f1cecb6da3dacddb7e97d3e80fef
				"Sẽoog kiuug rasem a 9 yʋʋm 2020 soabã pʋgẽ, Agsẽo vital “ACTION V.I.T.A.L.E” taoor soabã Amado TARWOOR sega kiba-kɩtbã Waogdgo saad de kat tigsgã roog pʋga. Sɛkã võore, yaa sẽn wilg-ba, tɩ b taas Burkĩna Faso wen-vɩɩs a naasã nin-buiidu, tɩ yĩn-wɩsgrã tʋʋm zĩigẽ taoor soabã yãkr sẽn wat sa-sik kiuug rasem 22 yʋʋm 2020 pʋgẽ wã, a be a pʋgẽ. La neb kẽer zoe n sɩnga “Feesbukã” zugu, tɩ b ra yãk yẽnda ye. B rãmb wilgame tɩ b sã n yãk yẽ a na n koos ball tãoodbã. La sã n ya ne yẽ yĩn-wɩsgrã tʋʋmd yẽg
... 
ã, la naf tẽngã. Bala, yaa wakat yĩn-wɩsgrã tʋʋm sẽn segd n kẽng taoore, la a ra leb n pa poorẽ wa pĩndã ye. A paasame tɩ wakat sẽn looge, ball tãoodbã mi n dat n paama vẽenem ne b taoor rãmbã tɩ ya toogo. La “Agsẽo vital”siglga sõma ned buud fãa tõe n kẽes a toog n naag tʋme. B ka yãk ned n welge, b ka tũus neda. Yɩɩ wakat a yɩn-wɩsgrã tʋʋm pʋgẽ nin-bɛda walla a Nuufu WEDRAOOGO, a Masemmadi Lamin KOAND sẽn wilg b belem ne a Amado TARWOORE. Hal tɩ b fãa tikrã yẽgre, yaa ned ning fãa sẽn tar-a ya
...
TION V.I.T.A.L.E compte intégrer la diaspora burkinabè afin qu’elle donne sa contributionpour le developpement du sport . pour Amado TRAORE les joueurs avaient des difficultés pour rencontrer leur dirigeants mais avec lui cela sera une chose facile. Il a le soutien des cadres du monde sportif à l’image de Noufou OUEDRAOGO et Mahamadi Lamine KOANDA. Pour Kasoum OUEDRAOGO dit Ziko; le footbaal Burkinabè va allé de l’avant comme on l’avait vu à la coupe d’Afrique des Nations de 1998.
P Eric ZINAABA"	3df4a5f5e8121a13f7e2b1765e3bb4b9
				"GES-Y malɛkã sẽn pakd bãensã roogo. Rap nins sẽn yitã yaa a Zezi tʋm-tʋmdbã. Bɩ d ges bũmb ning sẽn kɩt tɩ b kẽes-b bãensã.
Vʋʋsem sõngã sẽn sig a Zezi karen-biisã zugã poor bilfu, a Pɩɛɛr ne a Zã yika daar a ye n debd Zerizalɛm wẽnd-doogẽ wã. B sẽn ta wẽnd-doogã noorã, b yãa rao sẽn yaa põore. A roga ne a komslmã. Nebã talld-a-la daar fãa n wat wẽnd-doogã noor t’a bõosd neb nins sẽn wat be wã. A sẽn yã a Pɩɛɛr ne a Zã wã, a bõos-b-la bũmbu. Yãmb mii tʋm-tʋmdbã sẽn maan bũmb ning bɩ?
B yalsame n
... 
ɛr ne a Zã n kẽes bãense.
Vẽkembeoogã, tũudmã taoor dãmb wʋsg tigma taaba, n kɩt tɩ b tall a Pɩɛɛre, a Zã ne rao ning b sẽn sãoogã n wa. B soka a Pɩɛɛre ne a Zã yaa: ‘Yaa ne pãn-bʋg la yãmb sẽn maan yel-solem-kãnga wã?’
A Pɩɛɛr leok-b lame tɩ yaa ne Wẽnnaam ning sẽn vʋʋg a Zezi wã pãnga. La maan-kʋʋdbã ra pa mi b sẽn na n maan bũmb ning ye. Bala bãmb mengã ra yãame t’a Pɩɛɛr ne a Zã tõog n sãooga raoã. Dẽnd b yeela tʋm-tʋmdbã tɩ b ra le saag n gom a Zezi yell abada. Rẽ poore b bas-b lame tɩ b lo
...
dãmb tʋma neb tɩ b tɩ yiis tʋm-tʋmdbã bãensã roogẽ n wa, la b tɩ mikame tɩ tʋm-tʋmdbã ka be ye. B wa n yã-b lame tɩ b be wẽnd-doogẽ wã n zãmsd nebã, tɩ b tall-b n kẽng Zʋɩf rãmbã bʋ-kaoodbã ro-kãseng pʋgẽ.
Tũudmã taoor dãmb yeel-b lame yaa: ‘Tõnd yeela yãmb tɩ y ra le gom a Zezi yell yɛs ye. La yãmb pidsa Zerizalɛm ne y zãmsgã.’ Tʋm-tʋmdbã yeelame yaa: ‘Tõnd segd n saka Wẽnnaam n yɩɩd ninsaala.’ Dẽnd b kell n moona koe-noogã n ka bas ye. D segd n dɩka b togs-n-taare.
Tʋʋma sak a 3 n tɩ tãag a 5."	35a7eaf8edb8a7739e0ee7e5e55d8a0f
				"MAAM ne m pagã wa n kẽnga Gabõ sẽn be Afirikã. M pagã yʋʋr la a Danièle. D sẽn ta lotɛll ning pʋgẽ d sẽn tog n gãandã, n togs d yʋyã, pag ning sẽn deegd nebã yeela maam yaa: “M bõos tɩ y bool polɩɩs-rãmb nins sẽn get-b sẽn kẽed-b tẽngã yellã.” Yʋʋmd 1970 wã poore, b ra wa n gɩdga tõnd tũudmã beenẽ.
A Danièle bãnga zĩig pʋgẽ tɩ yell n be, n walem maam n yeel yaa: “Ra nams n bool polɩɩs-rãmbã ye. B zoe n bee ka.” D sɩd yãa mobill sẽn yõg n yals lotɛllã taoore. Minit a wãn pʋgẽ tɩ sodaas n kẽ n yõk
... 
oor n wilgd tõnd zĩisã ra sokda tõnd sogsg sẽn na yɩl n sõng-d tɩ d segl d meng ɛgzame wã yĩnga. Saam-biigã ra yaa Betɛllẽ tʋm-tʋmda. Sibr a ye, d gilgame n tãag zaabre. D kẽnga zĩig a ye n tɩ ges meteyoor-dãmb la meteyorit-rãmba. Yaa kug buud sẽn yi yĩngr n lʋɩ. D kẽnga miize pʋgẽ me n tɩ gilgi. Be, b wilga tõnd yẽbs buk a yiibu, la welgr ning sẽn be b sʋkã. D sẽn lebg n wa Betɛllẽ wã, saam-biigã soka tõnd yaa: “Bõe welgr n be meteyoor ne meteyorit sʋka?” Yaamsã yĩnga, a Danièle leokame yaa: “M
...
nong-a lame. D sẽn wat n ket n tar keelmã sasa, d tog n maana d sẽn tõe fãa n ges d zakã rãmb yell sõma. (Koɛ. 9:9) Yiib-n-soaba, pa segd tɩ d maand yɩɩr wʋsg yel-bõones poorẽ ye. Sã n pa rẽ, d tõeeme n wa pa le ne bark ka tɛkã d sẽn paamd daar fãa wã ye.—Yel. 15:15.
M sã n tags yʋʋm nins fãa d sẽn kẽes d meng zãng a Zeova tʋʋmdã pʋgẽ wã, m nee vẽeneg t’a Zeova ning-d-la barka, hal tɩ zʋʋg d sẽn da tõe n tagsã. M tagsg yaa wa yɩɩn-gʋlsdã. A ra yeelame yaa: ‘A Zeova maan-m-la neere.’—Yɩɩn. 116:7."	08cad42ec21839f72a69196bb87c0d93
				"N-ye! A Zeova Kaset rãmbã sakda tɩbsgo. Baa d sẽn maood n get d yĩnsã la d laafɩ wã yell sõma wã, sasa kẽere, d mi n ‘baooda tɩpa,’ bɩ logtore. (Luk 5:31) Rũndã-rũndã me a Zeova Kaset rãmb n yaa logtoɛɛmba, wa a Luk sẽn zĩnd pipi kiris-nebã wakatẽ wã.—Koloos-rãmbã 4:14.
Tɩbsg kẽer kɩɩsda Biiblã. Rẽ n so tɩ d pa sakd-b ye. Wala makre, tõnd pa sakd tɩ b ning tõnd zɩɩm ye. Bala, Biiblã gɩdgame tɩ d ra reeg zɩɩm ye. (Tʋʋmã 15:20) Biiblã gɩdga tɩbsg sẽn naag ne zĩn-dãmb yɛla.—Galat-rãmbã 5:19-21.
La baasgo, tɩbsg wʋsg pa kɩɩsd Biiblã ye. Dẽnd bee ne ned fãa yam-yãkre. A Zeova Kaset soab ning tõe n saka tɩbsg ninga, t’a to pa sak ye. Galat-rãmbã 6:5."	1c872b691d80ff867182d159e9e4530f
				"Yãmb na n kell n yɩɩ burkĩmb bɩ?
“Hal n tãag m kũum, mam kõn yi m burkĩndã pʋgẽ ye!”—Zoob 27:5, NW.
1, 2. Bõe sẽn wõnd roog meeb la d tʋll n maane, la sogs-bʋs la d na n leoke?
MAMS-Y n ges-y y sẽn na n get zak y sẽn dat n me pãlã. A yaa neer wʋsgo, hal tɩ y zoe n tagsd a sẽn na n naf yãmb ne y zakã rãmb to-to. La rẽ yĩnga y pa ne tɩ yaa y sẽn na n modg n me zakã n kẽ la y get a yell la a na n naf yãmb n yɩɩg y sẽn na n tek a pãlã rãmb pẽgb sɩda?
2 Yaa woto me ne burkĩndã. D tõe n miime t’a yaa 
... 
 ka yõod ye, la d sã n paamd a taab n paasdẽ, d wat n tõog n mee roogo. Woto me, d sã n maood n yɩt sakd yel-bõoneg pʋsẽ, d kogenda d burkĩndã.—Luk 16:10.
12. B sẽn da wa n namsd a Davɩɩd la b maand-a pãnga, a manesem yɩɩ wãn tɩ yaa mak-sõng n kõ tõnd burkĩndã tallg wɛɛngẽ?
12 Sẽn yɩɩd fãa, yaa d sã n yalsd kãn-kãe namsg pʋgẽ la d tõogd toog b sã n wa wẽgd tõnd bɩ n maand-d pãng la b yãt vẽeneg tɩ d yaa burkĩna. A Davɩɩd kibarã sẽn be Biiblã pʋgẽ wã sɩd wilgda rẽ. A bi-bɩɩlem wakate, rĩm a ye sẽ
...
 ye n yeel-a t’a “sũur sãama hal wʋsgo.” La pʋg-bɩɩgã yãa potmaanã n dɩk n yɩ tao-tao n gẽes a soabã n pa yã, n kong n tɩ kɩs polɩɩs rãmbã. Bãmb me n gẽesa a soaba, n mik tɩ yaa pʋg-tʋtrã n so. B sẽn kɩs-a a potmaanã, a sũur yɩɩ noog wʋsg t’a yeel yaa: “Ad woto sɩd seka pẽgre!” Bõe yĩng tɩ pʋg-bɩɩgã modg n lebs ligdã? Zʋrnallã pʋgẽ b yeelame t’a yaa a Zeova Kaset soaba, la tɩ b sẽn wub-a tũudum kãng pʋgẽ wã n kɩt t’a yaa burkĩna.
[Foto, seb-neng 18]
Kom-bɩɩsã tõe n kell n yɩɩ burkĩmb makr taoore"	9befb97d5f4c7314f7266b2708f845dd
