"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"I Dreamt I Was A Real Boy - Kjønn i norsk pop og rock
Fem norske jenter iført elektriske gitarar, slagverk, eit farfisaorgel og miniskjørt entra i 1968 scenen i palasset til Sjahen av Iran. Der leverte dei tre sett av 1960-åras beatrock til eit lettare sjokkert, men imponert publikum.
Rockheim Temporær, 8. mai - 29. desember 2013
Iran var eit avbrekk i The Dandy Girls sin eitt år lang turné i eit krigsherja Søraust-Asia. Den omfattande internasjonale konsertverksemda gjorde dette norske bandet t
... (276 chars skipped) ... 
t sjå ut som at populærkulturen generelt og pop og rock spesielt har vore med på å sprenge grensene for kva som er passande feminin og maskulin oppførsel. Tenk berre på den lange luggen til gutane i The Cool Cats, på Kvinnefrontbandet Amtmandens Døtre som let alt kroppshåret gro, på jentene i punkbandet Norske Budeier som barberte hovudet, og på puddelrockmennene i People som bleika håret og tok permanent.
Ei grundigare gransking av populærmusikken som industri og estetisk produkt avdekker også 
... (276 chars skipped) ...
på desse kampane, på nye kvinnelege og mannlege identitetar, og på små og store kjønnsopprør i norsk pop og rock.
Formidlingstilbod
Opningsfest med konsert av Jenny Hval og Nils Bech
Spesialomvisingar i helgene
Pedagogisk tilbod til vidaregåande og ungdomsskular i Trøndelag gjennom DKS
Samarbeid med Teateret Vårt, som satte opp ungdomsforestillinga Lilla på Rockheim
Rockheimkunnskap: Amtmandens Døtre
Bildegalleri åpningsfest
Fra åpningsfesten for I Dreamt I Was A Real Boy på Rockheim 8. mai 2013"	adef0c61f6f6716d2cc9bb4203e31ce4
				"Litt over klokka 1600 fredag fekk brannvesenet melding om sterk røykutvikling frå Nybø-bygget, der nye Shanghai House ligg på hjørnet.
Like før klokka halv fem er dei framleis på staden, saman med politi og ambulanse.
Ingen har komme til skade.
Innehavar Zeng Xiang Wei fortel at dei tilsette sat i eit anna rom og åt då dei høyrde eit smell frå kjøkkenet.
- Vi tenkte berre at vi måtte komme oss ut, seier han, og legg til at han ikkje veit kva årsaka til smellet eller røyken kan vere.
Heller ikkje naudetatane på staden veit førebels kva årsaka til røykutviklinga var.
Når Firdaposten snakkar med politiet laurdag, får vi opplyst at ein sannsynlegvis ikkje kan seie noko om årsaka til hendinga før etter pinse."	ca8f4c27cbebc7373f6658bf1f54d222
				"Spissa topp-idrett i Førde
Kombiner skulegang og satsing på volleyball!
Førde Volleyballklubb har i samarbeid med Hafstad vidaregåande skule i Førde eit tilbod om spissa toppidrett i volleyball.
Førde Volleyballklubb står for treningane og det faglege opplegget, medan Hafstad vidaregåande skule administrerer tilbodet.
Det er totalt 15 plassar fordelt på vg1, vg2 og vg3.
Godt miljø
Kjekke opplevingar
Styrketrening
Dette er Hafstadsatsinga:
- Tre balløkter og to styrkeøkter i veka i samband med sk
... (189 chars skipped) ... 
s vil bli dekt av satsinga, dersom du trenar styrke minimum to gonger for veka og kan dokumentere dette gjennom oppmøteregistrering. Satsinga dekker ikkje treningskort hjå andre treningsstudio.
- Det er obligatorisk oppmøte på alle øktene, og det skal vere ekstraordinært dersom ein ikkje kan stille på økta. Dette krev god struktur på skulekvardagen.
- Hafstadsatsinga kan ikkje kombinerast med jobb ved sidan av skulen.
- Alle må søke på Hafstadsatsinga kvart år innan 1. mars, sjølv om dei allerei
... (189 chars skipped) ...
 få moglegheit til å trene med eit av laga til klubben.
Treningar med Førde VBK
Samarbeid med Olympiatoppen
Trening i samband med skulen
Region Sogn og Fjordane vil i samarbeid med Førde Volleyballklubb halde ei samling for dei som kan vere interessert i å søke på Hafstadsatsinga. På samlinga vil det bli informasjon om satsinga og ei praktisk økt. Denne er open for alle som vurderer å søke på Hafstad, eller for dei som allereie går på Hafstad og skal opp i andre eller tredje vidaregåande klasse."	50810007ec4779bc9ae799ca33ecaea1
				"Uansett kor stusseleg året hadde vore kunne du alltid stola på at Bombino Bianco leverte ei stødig avkastning uansett ver og temperatur – så vesentleg for økonomi og nedbetaling av gjeld at drua nokon stader i Italia har fått namnet Pagadebit. Nattverden har tidlegare smakt Bombino Bianco i blanding med Malvasia og Trebbiano. Korleis klarer drua seg heilt åleine?
Les meir “La Berta Pagadebit 2015”Malvasia, Trebbiano og Bombino, spontanfermentert, ingen skalmaserasjon, ingen svovling, ingen filtrering. Månekalender og nullintervensjon, kun druer og intuisjon…
Les meir “Cantina Ribelà Bianco 2016”Eit steinkast sør for Roma ligg Frascati – antakeleg vinregionen med dårlegast rykte i Italia – berykta for kommersiell og billig vin retta mot budsjett-turistane i hovudstaden. Sidan 2014 har familien Presutti prøvd å gjera noko med dette. Dei fekk i starten leigd seg ein ‘ubesudla’ parsell og har etter kvart fått kjøpt nok land til å laga vin med eigne druer. På 350 meter … Les meir Cantina Ribelà Ribolie 2017"	e4e9fc8a14a28d0b7ac9c5f1ab244611
				"Ein rundtur som strarter ved Rv 60 på Karbø. Turen går i skogsveg til Toskedalsetra og vidare der i frå i tydeleg rås/sti til Skaret. Ved Skaret har ein flott utsikt til Sunnylvsfjorden. Nedstigninga til Hellesylt er bratt, men i tydeleg rås. Viktig at ein finn riktig utgangspunkt i Skaret før nedstigning.
Når ein er komt til bebyggelsen på Hellesylt sjå etter skilt merka Karbøen for å gå skogen tilbake til utgangspunktet. Denne råsa/vegen er tydeleg første stykke, blir litt mindre tydeleg etterkvart, men likevel enkel å følge. Merka med skilt og raud måling på steiner/trestammer."	7197974b9bab535f9c534676d06b5714
				"Forsking og utvikling
Høgskulen i Volda har som mål å drive forsking og utviklingsarbeid med høg kvalitet, som skal gi utdanningstilboda eit solid grunnlag.
Kunnskap for framtida
Høgskulen i Volda byggjer FoU-aktiviteten på ei brei humanistisk og samfunnsfagleg felles plattform. Den regionale og nasjonale forskingsprofilen vært utvikla vidare på dette grunnlaget.
Høgskulen er medeigar i Møreforsking AS, og har inngått ein eigen samarbeidsavtale om korleis operativt forskings- og prosjektsamarbei
... (10 chars skipped) ... 
nnomførast.
Nyhende:
Forklarer naturfag ved hjelp av matlaging
Kjemiker og førsteamanuensis Erik Fooladi ved Høgskulen i Volda skal det kommende året ha en bistilling ved Naturfagsenteret ved Universitetet i Oslo. Stillingen innebærer å utvikle fagtekster til bruk i naturfagundervisning og forskningsformidling, og Fooladi bruker noe så utradisjonelt som matlaging for å forklare kjemiske reaksjoner, biologiske prosesser og fysikk.
Les meir
[12.07.2012]
Vert gjesteforskar ved Princeton
Knut-Willy 
... (10 chars skipped) ...
steamanuensis ved Institutt for religion, livssyn og kyrkjefag, har fått tilbod om å vere gjesteforskar ved Princeton Theological Seminary, hausten 2012
Les meir
[21.06.2012]
FoU-prisen 2012 til professor Jørgen Amdam
Jørgen Amdam vart førre veke tildelt Forskings- og utviklingsprisen for 2012. Amdam vert tildelt prisen for sin svært store forskingsinnsats gjennom fleire år, på høgt nasjonalt og internasjonalt nivå. Tildelinga skjedde på eit styremøte til Høgskulen i Volda.
Les meir
[12.06.2012]"	67d43ddba4981cf3d3b91633aa14f3ca
				"Naboen min er eit band der barndomsvennene Vegard Markhus og Bjørnar Sangolt speler. Plata kan høyrast på Spotify og andre straumetenester.
– Her er det både stall, stjerner, klokkespel og reinsdyr, så her skal det vere nok av julestemning for både store og små. Me håpar at desse nye julesongane kan vere med på å gje både born og vaksne litt ekstra julestemning, og bidra til ei førjulstid med både humor og ettertanke, seier Vegard Markhus.
– Elskar jul!
For nokre år sidan gav duoen ut songen «Es
... (432 chars skipped) ... 
– Kva julesongar likar du no? Og kva songar likte du då du var 11 år?
– Eg elsker nesten all julemusikk! Favoritten er nok juleplata til Sufjan Stevens, men eg gler meg også til eg skal på julekonsert med Odd Nordstoga snart. Då eg var 11 år var nok «Vi tenner våre lykter» den store favoritten, svarar Vegard Markhus.
Kos og alvor
Tekstane er både koselege og alvorlege, og Sangolt håpar at dei kan treffe både born og vaksne.
– I utgangspunktet er dette ei barneplate. Men det er jo det som er så f
... (432 chars skipped) ...
om står for. Koret er med og syng på tre av songane.
Å jobbe med Kvam Soul Children var veldig inspirerande. Dei tilførte energi og sjarm til musikken, og utstrålte stor iver og engasjement under innspelinga. Og så var det heller ingen ulempe at dei song enormt fint! seier Vegard Markhus.
– Kva tilbakemeldingar fekk de frå dei på songane de har laga?
– Den spontane responsen var særs positiv. Dei likte songane godt, og spesielt populær var setninga om at pappa har blitt for tjukk for si skjorte."	deb47012ec8a931a2cf2ea58d828169e
				"I Fjordabladet 21 juni kan ein lese ei sak der eg kritiserer Senterpartiet for å ikkje støtte eit initiativ til å sjå nærare på korleis vi kan spreie fylkeskommunale arbeidsplassar i heile fylket. Reknes handterer det med å snakke om andre ting, mellom anna fusjonen mellom Sunnfjord Energi og BKK. For å ta det siste først: Dette er eit val både selskapet og eigarane i SE har tatt med stort fleirtal, basert på ein fusjonsavtale som i langt større grad sikrar arbeidsplassvekst i eigarkommunane enn
... (455 chars skipped) ... 
v Sunnfjord Energi-kommunane så stemte også Senterpartiet for fusjon
Så til det eg faktisk utfordra Reksnes på. Korleis sikre spreiing av fylkeskommunale arbeidsplassar i heile fylket. Reksnes meiner omorganiseringa i Statens Vegvesen er ei sentraliseringsreform til Bergen, men let vere å nemne at dei nye arbeidsplassane til Bergen kjem frå Oslo. Og så har byråkratane i Vegdirektoratet føreslått ei løysing der nedbygging på Eid kjem Førde til gode. Det vert ikkje flytta ein einaste arbeidsplass 
... (455 chars skipped) ...
leverket? Reksnes seier at dette er ei sak folk er veldig opptekne av allereie, og eg er samd i at deler av den fylkeskommunale administrasjonen tenkjer i desse baner. Og nettopp difor vil Venstre løfte dette politisk i det vidare arbeidet, og få ein politisk styrt strategi for korleis vi sikrar at flest mogleg har høve til å søke på ein fylkeskommunal jobb. Venstre melder inn saka på nytt til neste møte i fellesnemnda, eg tillet meg å håpe på ei meir konstruktiv tilnærming frå Senterpartiet då."	072f3b6820d2a1ae9c0e5461caa21405
				"Henny Koppen
Fagleg interessefelt
Musikkpedagogikk, song/korsong, musikken sine verknader i heim, skule, kyrkje og samfunn.
Tidlegare arbeid/publikasjonar
Koppen, Henny og Oltedal Elizabeth: Sør Afrika, eit tverrfagleg ressurshefte for bruk i ungdomsskulen, Høgskulen i Sogn og Fjordane 2002
Koppen, Henny: Det eg gjer lærer eg. Hovudoppgåve NTNU 1999. Fokus på praktisk musikkopplæring i ungdomsskulen
Koppen, Henny: Idear til lokalt samarbeid, Kapittel i Reidar Knapstad: Ansvar og Håp, Miljøengasj
... (74 chars skipped) ... 
i : Magne Lerø (1987) Lederskap i dag : håndbok for ledere i kristent arbeid – Verbum, Oslo
Koppen, Henny: Medforfattar i: Hanna Ruset (1995) Rasteplassen, nynorsk andaktsbok Hanne forlag.
Koppen, Henny: Korarrangement utgitt på Cantando forlag 2008-2009
Koppen, Henny: Musikklæraren, Kronikk i Sunnmørsposten 070409
Koppen, Henny: Born lærer språk gjennom musikk, Kronikk i Sunnmørsposten 291010
Koppen, Henny: Medforfattar i: Plan for kyrkjemusikk i den norske kyrkja (2008). Kyrkjerådet
Pågåande p
... (74 chars skipped) ...
stimulere til nye, estetiske uttrykk hos barnehageborn, og kva må ligge i botnen for at desse uttrykka kan kome opp til overflata hos borna? Saman med Britt Loven Ølnes og Sigrun Meisingset.
Prosjektet er avslutta slik det var skissert i utgangspunktet. Ei utviding av prosjektet vert vurdert.
Arrangement av kornotar. Cantando forlag har sagt seg interessert i å vurdere eit arrangement som er under utprøving.
Songen og dei eldre. Eit tidlegare arbeid skal ferdigstillast for eventuell publisering."	4776426ae2c171ae2b280c625d8145e2
				"Oppdrag formidlet via Anbudstorget
Registrert Dato: Fredag 30. September 2011
Statens vegvesen i Region vest ved Vegteknisk seksjon ønsker med dette tilbod på levering av data for overvåking av eit steinsprangområde på E16, nærmare bestemt ved Stangelle i Vaksdal kommune i Hordaland. Ønsket leveringstidspunkt er frå omtrent 01.12.2011. Anskaffinga inneheld opsjonar for ytterlegare eitt års datafangst, og opsjon for kjøp av utstyr og softwarelisensar.
Leveransar iht kravsspesifikasjonen, i ein periode som tilbydaren sjølv kan påverke, er i konkurransedokumenta omtala som hovudoppdraget. Hovudoppdraget er ein del av eit Fou frosjekt, og det er sett av 150 000 kr til denne delen av oppdraget."	d2993a92047c35eb6bcf96d0337fdc82
