"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"1Hapa--eg, hay dapat tamon pag-aralan ay hatoy makapatibay kontamo ha panhohomonol ha Diyos. Ha aw-aral ya tongkol koni Pangino--on Hisokristo ay agtamoyna pi-oman-oman aralen baytoy pinag-aralan tamoyna hin primiro ya tongkol ha paghehe ha panggawà nin anyaman ya ayin kowinta boy tongkol ha pantotompel ha Diyos. 2Agtamoyna simpri aralen oman baytoy tongkol ha pamiminyag, tongkol ha pangipababon gamet ha tawoy an-ipanalangin, tongkol ha pamiyay oman lano ha tawtawoy nikati, boy tongkol ha panono
... 
 anlabiyen nawen pawpatel ay angkasigoro nawen ya alwa kawon ombayro ha ahè nangipagpatoloy nin pantotompel. Ampahimalà kayi nin ipagpatoloy moyo ya pantotompel moyo, ta mahampat ya gawgawà moyo ya bonga nin kalibriyan moyo ha kasalanan. 10Banà ha kahampatan nin Diyos ay agna anliwawan ya kahampatan ya anggaw--en moyo kateng panlalabi ya angka-ipakit moyo ha pananambay moyo ha kapariho moyon katetpel, hatoy nag--in tawtawo nin Diyos ya patoloy moyon antambayan. 11Hay labay nawen ha balang miha k
...
mo boy ampakab--i kontamo nin kasigorowan ya lano ay makapahok tamo ha katatag-ayan ha kama-inan nin Diyos. Alwan bilang hin hato ya hay ampakapahok bongat ha kagmang kortina ya pinakamasagradon kowarto ay pinakamatag--ay ya parì. 20Hi Pangino--on Hisos ay na-ona kontamo nin nako bayro boy hiya ay anggomawà nin para kontamo. Hiya ya nag--in pinakamatag--ay ya parì hapa--eg boy anggan makakanoman. No pangno ya sirbisyo hin hato ni Milkisidik ay ombayro hapa--eg ya anggaw--en ni Pangino--on Hisos."	08737aca288369a7697d7cda30c4b187
				"NO ANTOY GAWAEN:
Ipapusom so mensahe. No ipaparaan moy presentasyon mo odino paliwawam, nonot mon maong so kaimportantian na mensahem. Aral mon maong so reperensya pian nibalikas mo itan a manlapud puso.
Nonot mo iray ondengel ed sika. Dalepdepen no panon ya nagunggonaan so arum ed basaen odino ibangat mon impormasyon. Isipen iray paraan na pangipresentam pian malinew ya nanengneng na saray ondedengel no panon iran nagunggonaan.
Gawaen a mabilabilay so presentasyon mo odino paliwawam. Mansalitan maligligsa. Mangusar na saray natural ya andawes odino galaw na laman tan lima tan ekspresyon na lupa pian ipatnag so tuan naliliknam."	696541e496e780cabef697613210978b
				"8
Saray Bubbayin Nanan'ili kona ni Jesus
1 Ambo' nin na'teng mayadi' ti, nako ya si Jesus sa bubabali tan bubaryo nin nipatanda' nayay Mabistan Patanda' maipa'ka' sa pag'aadi' nan Dios. Nayi saray labinrwan apostoles 2 tan umno ray bubbayin pinalimpyo na. Sarayti sara: si Maria nin mantawagen nin Magdalena a linwaan nin pito ray duka' a uispirito, 3 si Juana nin asawa na ni Cusa nin ata'gay a butang nin tawo na ni Herodes Antipas, si Susana tan saray raruma et nin mampamin say pakatkapan ra ni J
... 
g tan kai yayna nin mampugot sa bali ra no kai itaw yaynan mampagpirmi sa pannabunan. 28-29 Anaod, pirmi nayan serpan nin si ispiriton duka', kanya' nin baruren ran kadina a gamet na tan ayi na. Bale' mabulsot na et ket papalaywen nayan ispirito nin mako sa lugar a kasan tawo.
Bale' sin na'kit nayaynaod si Jesus, tinma'way ya mi'sa ya nin nanalimukod sa adapan na ket wana nin maksaw, “Jesus, Anak nan Sangkata'gayan nin Dios, ani ket a kabiangan mo kongko? Panginga'do mo ta andi' nako nin padya'd
...
a, “Kustoyna in! Andi' kamoyna nin umakis ta kai ya anamaet nin nati; mampa'lek ya tamo'.” 53 Ket kinaka'lisan raya si Jesus nin panuya'-tuya' kona ta tanda' ran nati yaynay anak. 54 Ket gina'getan nay gamet na tan wana nin maksaw, “Anak ko, mibangon ka.” 55 Ket bigra', si anak sinmubli' a inanawa na tan nibangon yaynan tampor. Sin sain, nibibilin na a pakanen raya. 56 Naka'ngap saray mangatua na; ket binibilin nasara ni Jesus nin andi' ra nin ibari-barita' ti nin nangyadi' sa mataman nin si'no."	75643c03fe3e97382129054e78a8ab3a
				"Biblia Online | BALON MUNDO A PATALOS NA MASANTON KASULATAN
8 Agta ontatawag so karunongan?Agta onkekelyaw so pakatebek?+
2 Diad atagey iran pasen+ ed abay na karsada,
Diad saray nansangaan et sikatoy inmalagey.
3 Diad abay na saray puerta a paonlad syudad,
Diad saray entrada na saray lolooban
Et sikatoy ontatawag a maksil:+
4 “Ontatawag ak ed sikayo ran totoo;
Onkekelyaw ak ed balang sakey.
5 Sikayo ran andiay kakabatan, aral yoy pakatebek;+
Sikayo ran makulangkulang, onggamor kayo na puson mak
... 
t manguukom diad inkatunong.
17 Inarok iramay mangaaro ed siak,
Tan saramay manaanap ed siak et naromog da ak.+
18 Walad siak iray kayamanan tan gloria,
Say manbayag a kayama- nan tan inkatunong.
19 Say bungak et magmaong ni nen say balitok, anggan say pinapuron balitok,
Tan say papawalaen ko et magmaong ni nen say sankaabigan a klase na pilak.+
20 Manaakar ak ed basbas na inkatunong,
Diad pegley na saray dalan na hustisya;
21 Iikdan ko na baleg a tawir iramay mangaaro ed siak,
Tan papanoen ko r
...
et iramay ontutumbok ed saray dalan ko.
33 Dengel kayo ed disiplina+ tan magmaliw kayon marunong,
Tan agyon balot ibabaliwala itan.
34 Maliket so toon ondedengel ed siak
Diad isasabi ton masakbay ed saray puertak ya inagew-agew,
Diad panaalagar to ed abay na saray lusek na puertak;
35 Ta samay manaanap ed siak et naromog toy bilay,+
Tan nagamoran toy panangabobon nen Jehova.
36 Balet samay mangibabaliwala ed siak et sasakitan toy sarili to,
Tan saramay mamubusol ed siak et aaroen day ipapatey.”+"	364d7848824c50be2a3c6f816ef52d0f
				"24
Nan‐ongal si Jesus
1 Idi agsapen pasiya ni Domingko ja maykatdon akew, dimaw ira sota bibii nodta naydiyangan ni bakdang nen Jesus, jet engita‐jon ira nonta insaganaren emanseng‐ew wa dana. 2 Jet idi mimotok ira, inon‐an shen epolig ja ima‐adaw sota baton ebadeg ja istay naydekeb nodta diyang nga naydiyangan nen Jesus. 3 Simekep ira nodta diyang, nem enshiy sha simbin bakdang nen Apo Jesus. 4 Jet idi ireka manmodimodi bengat nodtan, ebiglen nanpa‐sas i showen anghil ja singa too i itsora sha 
... 
i emin na inkowan ni para padto nonta bayag da? 26 Say inpadtora, mesepol la da‐kaman nonta ibetkag nen Apo Shiyos ja mengisedakan i digat ja inges nonta inkowan jo, asan ma mayshayaw shi dangit.” 27 Jet si Jesus, in‐olog ton emin son si‐kara sota naysolat nonta bayag da maypangkep son si‐kato, manshoki shi dibsho ira nen Moises tan emin na insolat ni para padto nen Apo Shiyos nonta bayag da.
28 Idi imesop ira ma nodta dogad ja daẃan nonta showa, si Jesus, istay emankaisi‐jan ja singa ẃara pay i
...
 jo sota panakabalin nonta Ispirito Santo ja edapod dangit.” Kowan nen Jesus.
Dimaw si Jesus shi dangit
50 Inbalnay to ira ingkatod ma dogad ja nay‐esop shi Bitania. Jet inkayang toy takday to ja binindisiyonan to ira. 51 Jet idi maramen toka panbindisiyoni ira, indekjas to iren kimayang mala shi dangit. 52 Jet nantalimokod ira sota apostol ja nanshayaw son si‐kato, asan ireka oli maled Jerusalem ma epaladoy imdeng sha. 53 Jet kanajon ma ired Timplo ja emanshedjaw tan eman‐iyaman son Apo Shiyos."	fad5bd1e5d340842f9f518aff2c10f90
				"1Hi Apo Hisos ay in-anak ha banowan Bitlihim ha probinsyan Hodiya mintras ampag-arì hi Hirodis. Hin habayton pana--on, do ha siyodad nin Hirosalim ay ma--in mangaronong ya lawlalaki ya nakalateng nin na-ibat ha marayò ya dogal ha bandan baytan. Hay an-aralen lan habayto ay tawtigè nin bawbito--en. 2Hapa--eg, nagpastang hila, ""Ayri,"" wanla, ""baytoy in-anak ya arì nin Hawhodiyo? Ha bandan baytan ya inibatan nawen ay nakit nawen ya bito--en ya pakatanda--an kona; kayà nako kayi bayri nin homamba ko
... 
baytoy gawgitan la ta inggawà la kona ya gintò, kamanyang, boy mira. 12Hapa--eg, ha taynep nin habaytoy mangaronong ya lawlalaki ay hinalità konla nin Diyos ya aghila magbira koni Arì Hirodis. Kayà nagdaan hila ha kanayon ya daan nin norong ha sarili lan dogal. 13Hin naka-alih ana baytoy mangaronong ya lawlalaki, hay mihay anghil nin Pangino--on ay napakit koni Hosi ha taynep ta naghalità kona, ""Mibangon ka,"" wana, ""ta haba--in ya anak kateng nanay na ay ipowayo mon gitan ha nasyon Ihipto. Manat
...
 nibangon hi Hosi ta kinwa na baytoy anak kateng nanay ta gintan na nin nagbira ha nasyon Israyil. 22Piro hin nabalita--an ni Hosi ya hay hinomagilin nag-arì bayro ha probinsyan Hodiya ay hi Arkilawo ya anak ni Hirodis ay nalimo yan magbira bayro. Hapa--eg, impataynep ana et koni Hosi ya agya mako bayro no alwan mako ya ha probinsyan Galiliya. 23Kayà napa-iri hila ha banowan Nasarit. Habayti ya ginawà la ay nagkapeteg baytoy holà nin propita ya ombayri ya pagkahalità: ""Hiya ay ingaten Nasarino."""	a7f44e3aae2f903598db63c05c733c8d
				"Kayarin binautismoan nen Juan si Jesus, intonton na espiritu na Dios si Jesus diad kalawakan na Judea. Dakel so kaukolan ton nonoten. Nen bautismo to, “alukasan so tawen.” (Mateo 3:16) Kanian anonotan to iray naaralan tan ginawa to ed tawen. Talagan dakdakel so dalepdepen to!
Si Jesus et 40 agew tan 40 labi tod kalawakan. Legan na satan et agbalot angan. Insan nen narnarasan la, sikatoy inasinggeran nen Satanas a Diablo pian tuksoen, ya inkuan to: “No anak kay Dios, ibagam ed sarayan bato a magm
... 
an a paraan.
Insan diad komatlon tukso, impanengneng na Diablo ed si Jesus so “amin a panarian na mundo tan say karakpan na saratan” tan inkuan to: “Amin iraya et iter kod sika no ondakmomo ka tan mandayew kad siak a maminsan.” Balet siansian mapekder si Jesus tan kuan to: “Arawi ka, Satanas!” (Mateo 4:8-10) Agnampadaeg ed tukso ta amta ton say sagradon panaglingkor et para labat ed si Jehova. On, pinili toy manmatoor ed Dios.
Makaaral tayo ed saraman a tukso tan say impangarap nen Jesus ed sara
...
at, tan iter to ni ingen kuno so amin a panarian na mundo. Ompan ontan met so panukso na Diablo ed sikatayo, nayarin ipanengneng to ray makapaingganyon pankanawnawa pian onyaman, nawalaay pakayari, odino posisyon. On, makabat itayo no tumboken tayoy alimbawa nen Jesus diad panmatoor ed Dios anggan antoy onsabin tukso! Balet tandaan ya tinaynan na Diablo si Jesus tan “nanalagar na arum a pankanawnawa.” (Lucas 4:13) Ompan ontan met so gawaen tod sikatayo, kanian kaukolan a naynay itayon akabantay."	77f34c8c8dc116e80ada812414c4b8d3
				"“Imanom a naynay so sarilim tan say ibabangat mo. Panseetan mo irayan bengatla, ta diad panggawam ed saya et niliktar moy sarilim tan saramay ondedengel ed sika.”—1 TIM. 4:16.
KANSION 67 “Ipulong Mo so Salita”
DIAD SAYAN ARTIKULO *
1. Antoy labay tayon gawaen na saray kapamilya tayo?
“MANLAPU la nen naamtaan koy katuaan, labay ko ya amin a kapamilyak et nakaibak ed Paraiso,” so imbaga na sister ya manngaran na Pauline. * “Labalabay ko ya nakaiba so asawak ya si Wayne tan say anak min laki diad p
... 
ano da et agtayo la mibibiang ed saray arum ya selebrasyon da tan agtayo met la mibabali ed politika. Diad gapo, nayarin onsyodot ed sikatayo iray arum ya kapamilya tayo. (Mat. 10:35, 36) Balet agtayo onsusuko. No itunda tayo lay itutulong tayod sikara, singa tayo la ra inukom ya ag-ira makanepegan ya nawalaan na bilay ya andi-anggaan. Aliwan sikatayo so angiteran nen Jehova na kanepegan ya mangukom—inter to itan ed si Jesus. (Juan 5:22) No maanos itayo, nayarin dengelen lanlamang na saray kapam
...
liktar ira!
KANSION 57 Pulongan so Amin a Klase na Totoo
^ par. 5 Labay tayo ya nakabat na saray kapamilya tayo si Jehova, balet sikara so mandesisyon no manlingkor irad sikato odino andi. Diad sayan artikulo, aralen tayo no antoy gawaen tayo pian mas ondengel ed sikatayo iray kapamilya tayo.
^ par. 53 DESKRIPSION NA LITRATO: Kabataan ya brother ya tutulongan toy aliwan Tasi ya tatay to diad pangapiger na luluganan. Diad dugan pankanawnawa, impanengneng tod tatay to so sakey ya video ed jw.org®."	118c147a93999e9c0b19901565f011d9
				"“Manpasimbalo kayo diad panguman yo ed panagnonot yo.”—ROMA 12:2.
1, 2. Legan tayon onaaligwas ed espiritual, anto ray nanaaralan tayon gawaen? Iyilustra.
AKAAWAT na regalo so sakey ya ugaw. Imbaga na atateng tod sikato, “Salamat, kuan mo.” Akisalamat so ugaw, lapud imbaga itan na atateng to. Balet legan ton ombabaleg, lalo ton naaapresya so panagnonot tan kaabigan na atateng to ed arum. Kanian natan et mabulos lan misasalamat ya manlapud puso. Akin? Lapud say pisasalamat et nagmaliw lan kabiang
... 
o ed mundo. Nayarin ibaga na arum ya ayos labat itan, tan irason dan agmet itan mipara ed aktual ya pisesekso. * Balet kasin ipapatnag na saratan so kanonotan na Dios, ya kabusol toy amin ya klase na kaugsan? Arawian tayo sirin iray mauges a kagagawa diad pakawalaan tayoy kontrol ed sarili, ontan met ed pambusol ed saray kabusol nen Jehova.—Roma 12:9.
NONOTEN LAN UNONA IRAY GAWAEN TAYON DESISYON ED ARAPEN
13. Akin ya say pannonot lan unona ed saray panmoria nen Jehova et makatulong ed panggawa t
...
uan agawa, nayarin mankaukolan itan na hudisyal ya aksion. Diad arum ya situasyon, saray menor-de-edad ya akapibiang ed sexting et akasoan bilang sex offender. Parad kaaruman ya impormasyon, onlad website ya jw.org tan basaen online so artikulon “Tepet na Saray Kabataan—Antoy Dapat Kon Naamtaan Tungkol ed Sexting?” (Nengnengen diad BANGAT NA BIBLIA > TINEDYER.) Odino basaen so artikulon “Kung Paano Kakausapin ang Iyong Anak Tungkol sa Sexting” diad Nobyembre 2013, pahina 4-5 ya isyu na Gumising!"	be1b8ba15648a8d2c5902bd426452030
				"1Unat goh lempah Jesus an inulgud an amin hana ya nakak hinan Provinciad Galilee ta immuy hinan abablubabluy hinan Provinciad Judea an wah nan dammang di Wangwang an Jordan. 2Ya do'olday tataguh nangunud ay Hiya, ya nun'ipa'adaognan amin di way dogohnah di. 3Ya wadaday Pharisees an immuy ay Jesus ta tapnganda Hiya, ya inaliday, ""Iyabulut nin di Uldin an nonong ya inhiyan nan lala'iy ahawana an dumalat nan malgom an aton nen babai?"" 4Ya inalin Jesus di, ""Dan agguyyu binaha din impitudo' Apo Dios 
... 
y atonan manapah uluda ta iluwaluana dida. Mu inhingal din intudtuduwana din tatagun nangiyuy ay dida. 14Mu inalin Jesus di, ""Adiyu ipaway ung'ungungngan umalin Ha""in ti nan tagun middum hinan Pumpapto'an Apo Dios ad abuniyan ya umatdah aat di ung'ungungnga."" 15At dinapana dida, ya inalinay, ""Adaog ayu, at pumhod ayu!"" Ya unat goh nalpah ya tinaynanda dida. 16Wa han ohan algaw ya immuy han lala'in Jesus, ya inalinay, ""Apu, hay maphod hi ato' ta mi'tagua' ay Apo Dios hi mid pogpogna?"" 17Ya tembal
...
n tun luta ya Ha""in an Imbaluy di Tagu ya umbuna' hinan trono, at mumpapto'a'. Ya da'yun himpulu ta duwan mangunud ay Ha""in ya mi'yibun ayuh nan trono ta ipapto'yu nan himpulu ta duwan himpampun an nahlagan nan holag Israel. 29Nan tagun taynanay abungna, unu a'agina, unu ommodna, unu imbabaluyna, unu lutana ti Ha""in dumalat hi unudona ya do'do""ol di midat ay hiyah ataguanah tun luta, ya mi'tagun Apo Dios hi mid pogpogna. 30At do'olday miyangunuh, mu awniat onaynan dida ya un din udumnan nahhun."""	0951b3996ec8f7fb48e94b996557764b
