"porn?
empty/1"	"text artifacts?
empty/1"	"unnatural?
empty/1"	"lang correct?
0/1"	text_show	id
				"CHIGONGWI CHA ALINDA—CHAKUSAMBIRA February 2017 Magazini iyi ye ndi nkhani zakusambira kwambiya April 3 mpaka 30, 2017. Kumbi khumbu laku Chiuta lakukwaskana ndi charu chapasi kweniso ŵanthu, lenga lakuti wuli? Ntchinthu wuli cho chingunangika? Ntchifukwa wuli sembi yaku Yesu yichitisengi kuti khumbu laku Chiuta lifiskiki? Sembi yaku Yesu yo Chiuta wakupereka yititiwovya kuti tizisaniyi vitumbiku vinandi kweniso yitovya kuti nkhani zakukhumbika ukongwa zo Satana wakwambisa zimali. MBIRI YA UMOYU
..........
 wuli cho chilongo kuti Yehova wawovyanga ŵanthu wo alongozganga ŵanthu ŵaki? Yesu wangulayizga kuti wazakuŵawovya akusambira ŵaki mpaka pa umaliru wa vinthu va mucharu ichi. Kumbi sonu watiŵalongozga wuli ŵanthu aku Chiuta pacharu chapasi? Wakutumika Paulo wangulemba kuti Chiuta ‘wazomerezengi cha kuti muyeseki mpaka kutondeka kukunthiyapu.’ Kumbi venivi ving’anamuwa kuti Chiuta waziŵiya limu mayeseru ngo tingakunthiyapu ndipu pavuli paki, wasankha ngo tikumanengi nangu? YATULIYA MUNKHANI ZIDU "	95934e4f1057be9612a8515912f83bba
				"Kasi kubamphika pamoza tumakuni tuŵiri uto tukuzunulika mu Ezekiyeli 37 kukung’anamurachi? Kwizira mwa ntchimi Ezekiyeli, Yehova wakachima kuti Ŵaisrayeli ŵazamuwelera ku Charu Chalayizgano ndipo ŵazamuŵaso rmtundu umoza wakukolerana. Kweniso uchimi uwu ukayowoyerathu kuti ŵanthu ŵa Chiuta ŵazamuŵa ŵakukolerana mu mazuŵa ghaumaliro. Yehova wakaphalira ntchimi Ezekiyeli kulemba pa tumakuni tuŵiri. Kasi wakati walembe vichi? Yehova wakati pa kakhuni kakwamba walembe kuti: “Nkha Yuda na ŵana ŵa Isr
..........
akukolerana. Yesaya na Yeremiya nawo, ŵakayowoyerathu kuti mafuko 10 gha Israyeli na mafuko ghaŵiri gha Yuda ghazamuphemanaso.—Yes. 11:12, 13; Yer. 31:1, 6, 31. Kasi ntchivichi icho uchimi uwu ukayowoyerathu pa nkhani yakusopa kwaunenesko? Uchimi uwu ukayowoyerathu kuti Yehova wazamovwira kuti ŵanthu wose awo ŵakumusopa ŵaŵe ŵakukolerana nga “kakhuni kamoza.” (Ezek. 37:18, 19) Kasi awo ŵakusopa Yehova mbakukolerana nadi mazuŵa ghano? Enya. Uchimi uwu ukamba kufiskika mu 1919, apo Yehova pachoko "	1f3c647e7c52824345188f93e3b1f05b
				"Samuel, * wa ku Kenya wakati: “Nkhatemwanga chomene njuga. Nkhalombanga kuti niwine vindalama vinandi. Kweni nkhawinapo yayi.” Teresa, wa ku Philippines wakati: “Apo tikaŵa pa sukulu, tose tikayowoyanga pamtima malurombo agho ŵakatisambizga.” Magdalene, wa ku Ghana wakati: “Para nasuzgika nkhulomba. Nkhulombaso kuti Chiuta wanigowokere zakwananga kweniso kuti niŵe Mkhristu muwemi.” Ivyo wakayowoya Samuel, Teresa, na Magdalene vikulongora kuti ŵanthu ŵakulomba pa vifukwa vinandi. Vinyake vyamahar
..........
chinthu chakukhumbikwa. Nakuti ukaboni ukulongora kuti ŵanthu ŵanyake awo ŵakusopa yayi nawo ŵakulomba kanandi. Kasi imwe mukulomba? Usange mukulomba, kasi mukulomba vichi? Kwali mukutemwa kulomba kwali yayi, nyengo zinyake mungajifumba kuti: ‘Kasi kulomba nkhwakovwira nadi? Kasi waliko uyo wakupulika?’ Munthu munyake wakalemba kuti kulomba ‘ni nthowa yakupepuskirako masuzgo. Vikuyana waka na munthu uyo wakuyowoya na chiŵeto.’ Ŵadokotala ŵanyake ŵakuti kulomba ni munkhwala. Kasi ŵanthu awo ŵakul"	ef39f2e77dee816749fbd9f751d35917
				"Kumbi mazu ngaku Davidi ngo nge pa Sumu 37:25 ndipuso ngaku Yesu pa Mateyu 6:33 ngalongo kuti Yehova wazomerezgengi cha kuti Mkhristu wasuzgikengi ndi nja? Davidi wangukamba kuti: ‘Ndilivi kuwona kuti murunji wasiyika pamwenga ŵana ŵaki achipempha chakurya.’ Iyu wangukamba viyo chifukwa cha vo vingumuchitikiya. Ndipu waziŵanga kuti Chiuta waphwere ateŵeti ŵaki nyengu zosi. (Sumu 37:25) Mwaviyo, mazu ngaku Davidi ngang’anamuwa kuti ateŵeti aku Chiuta alekengi cha kusoŵa vinthu vakukhumbika pa umo
..........
 (Mat. 25:35, 37, 40) Ivi ndivu vinguchitikiya wakutumika Paulo. Nyengu zinyaki, wajanga ndi nja ndipuso wasoŵanga maji. Yehova wakamba kuti titombozgekengi munthowa zakupambanapambana. Iyu wangazomerezga kuti tikumani ndi masuzgu kuti timuki vo Diabolo watimumba mulandu. (Jobu 2:3-5) Mwakuyeruzgiyapu, Abali ŵidu anyaki wo anguŵikika mujeri mu nyengu ya chipani cha Nazi, angukumana ndi masuzgu nganandi chifukwa cha kutombozgeka ndipuso kusoŵa chakurya. Iyi yenga nthowa yimoza yo Diabolo wagwiris"	aae789f2c912d3caf67d00a9122d8c7a
				"AMUWONI mwana yo waŵeleŵeta ndi ŵanthu wo. Yiwu mbasambizi a m’nyumba yakusopiyamu yaku Chiuta, ku Yerusalemu. Ndipu mnyamata yo ndi Yesu. Panyengu iyi, iyu wakuwaku kamanavi ndipu we ndi vyaka 12. Asambizi yaŵa azizwa ukongwa kuti Yesu waziŵa vinandi vakukwaskana ndi Chiuta kweniso vinthu vo vikulembeka m’Bayibolo. Kweni nchifukwa wuli Yosefe ndi Mariya palivi yapa? Kumbi yiwu ŵepani? Tiyi tiwoni. Chaka chechosi Yosefe walutanga ku Yerusalemu ndi banja laki ku phwandu lapade la Phaska. Ulendu w
..........
njanga? Kumbi mwaziŵanga cha kuti nditenere kusanirika m’nyumba ya Ada?’ Yesu wayanjanga kusanirika ku malu ngo wangasambiraku zaku Chiuta. Kumbi isi nasi titenere cha kuchita viyo? Yesu we ku Nazarete, sabata yeyosi wayanjanga kuluta ku mawunganu kuchisopa. Chifukwa chakuti nyengu zosi iyu wavwisiyanga, waziŵanga vinthu vinandi va m’Bayibolo. Tiyi tije ngati Yesu ndipu tilondongi vo iyu wachitanga. Luka 2:41-52; Mateyu 13:53-56. Mafumbu - Kumbi pachithuthuzi yapa ndipu Yesu we ndi vyaka vilinga"	5362fa1d186352d5ca3976be3caa0d75
				"Ŵanthu ŵanandi ŵakukondwelera Khisimasi mwakupambanapambana. Pa nyengo iyi, ŵanyake ŵakutemwa kuchezga na mabanja ghawo na ŵabwezi ŵawo. Ŵanyake ŵakuluta ku tchalitchi panji kovwira ŵakavu. Vinthu ivi ni vyakuzirwa nadi. Kweni suzgo ndakuti ŵakuvichita mu zina la Khisimasi. Chifukwa wuli tikuti pali suzgo? Chakwamba, ŵanthu ŵanandi ŵakugomezga kuti Khisimasi ni zuŵa ilo Yesu wakababikira. Kweni ŵanthu ŵakumanya mbiri ŵakuti palije uyo wakumanya deti ilo Yesu wakababikira. Buku linyake likuti, “Ŵ
..........
hu vinyake pa Khisimasi, ndikuti tikulondezga maluso gha ŵanthu awo ŵakusopa ŵachiuta ŵatesi?’—The Externals of the Catholic Church Kweni kasi pangaŵa suzgo wuli usange munthu wangachitako vinthu ivi? Chiuta wakukana kuti pakumusopa tisazgengemo maluso gha ŵanthu awo ŵakusopa ŵachiuta ŵatesi. Kwizira mwa ntchimi Amosi, Yehova wakaphalira ŵanthu ŵake awo ŵakamugalukira kuti: ‘Nkhuvitinkha, nkhunyanyara navyo viphikiro vinu. Lekani kuniyimbira sumu zinu zavyongo.’—Amosi 5:21, 23. Chifukwa wuli Yeh"	9196530a0b7d3682adfe4bb4df0a418f
				"Baibolo la pa Intaneti MALEMBA GHAKUPATULIKA MU MANG'ANAMULIRO GHA CHARU CHIPHYA - Chenjezgo ku ŵasambazi (1-6) - Chiuta wakutumbika awo ŵakuzizipizga (7-11) - “Enya” winu waŵe enya (12) - Lurombo lwa chipulikano lukovwira (13-18) - Kuwezga wakwananga (19, 20) 5 Sono pulikizgani imwe ŵanthu ŵasambazi, lirani, kolomokani chifukwa cha masuzgo agho ghakwiza pa imwe.+ 2 Usambazi winu wavunda, ndipo malaya ghinu gharyeka na vidoyo.+ 3 Golide linu na siliva vyachita mlosko, ndipo mlosko wake uŵenge uk
..........
a mu zina la Yehova,+ izo zikasuzgika+ ndipo zikazikira.+ 11 Wonani, tikuŵawona kuti mbakukondwa awo ŵazizipizga.+ Mwapulika umo Yobu wakazizipizgira+ ndipo mwawona umo Yehova wakamutumbikira paumaliro.+ Mwawona kuti Yehova ngwachitemwa chomene ndiposo ngwalusungu.+ 12 Kweni kuluska vyose, ŵabali ŵane lekani kulapira kuchanya panji charu chapasi nesi na chilapo chinyake chilichose. Kweni “Enya” winu waŵenge enya, ndipo “Yayi,” yayi,+ mwakuti muleke kweruzgika. 13 Kasi walipo uyo wakusuzgika paka"	27bcb60460322b1ee7d51185bd836ac4
				"Baibolo la pa Intaneti MALEMBA GHAKUPATULIKA MU MANG'ANAMULIRO GHA CHARU CHIPHYA 39 Sono Yosefe ŵakakhilira nayo ku Eguputo,+ ndipo Potifara,+ Mueguputo, wantchito wa Farawo, uyoso wakaŵa mulara wa ŵavikiliri ŵake, wakamugura kwa Ŵaishimayeli+ awo ŵakiza nayo. 2 Kweni Yehova wakaŵa na Yosefe.+ Ntheura vinthu vikamwenderanga makora ndipo wakapika mulimo wa kulaŵilira vya mu nyumba ya fumu yake, Mueguputo. 3 Fumu yake yikawona kuti Yehova wakaŵa nayo ndiposo kuti Yehova wakatumbikanga chilichose i
..........
 kukachita mulimo wake, mukaŵavya muteŵeti waliyose mu nyumba. 12 Penepapo mwanakazi yura wakakora chakuvwara cha Yosefe na kuyowoya kuti: “Gona nane.” Kweni Yosefe wakaleka chakuvwara chake mu woko la mwanakazi yura na kuchimbilira kuwaro. 13 Wakati wawona kuti Yosefe waleka chakuvwara chake mu woko lake na kuchimbilira kuwaro, 14 wakamba kuchemerezga ku ŵanalume ŵamunyumba yake na kuyowoya kuti: “Wonani, wali kutizira na Muhebere uyu kuti watizgore chakusekeska. Wangwiza kwa ine kuti wagone na"	b3eba3a80d841c6415dd6500f8011665
				"Ana tukusamanyilila catuli kuti yili yisyene kuti ŵawe cacijimuka? Ana nganisyo sya Yehofa pangani ja kwimusya ŵawe sili syatuli? Ana ŵani ŵacacijimuka ku ŵawe? 1-3. Ana mmagongo jwapi jwakututoposya wosopewe, soni ligongo cici kumanyilila yajikusajiganya Baibulo panganiji kuli kwakutondoya? 2 M’litala line, yili mpela kuti jwaciswamba akwatoposya wawojo. Wosopewe akututoposya. Mpela mwatwalijiganyile mu mtwe upite, Baibulo jikusasala kuti ciwa cili mmagongo. Pangali jwalijose jwetuwe jwampaka a
..........
uti lisiku line ‘ŵaŵawile wosope’ cacijimuka. (Yohane 5:28) Yehofa ali Mkupanganya jwa umi. Ana mpaka yiŵe yakusawusya kulupilila kuti jwalakwe mpaka apanganyesoni umi? Yisyene kuti yikwegama pa yakukumbucila Yehofa pakwamba ya jwam’wejo. Ana jwalakwe mpaka ŵakumbucile ŵakunonyelwa ŵetu ŵaŵajasice? Kwinani kwana ndondwa syangaŵalanjika, nambo Mlungu akusajikolangaga jilijose lina lyakwe. (Yesaya 40:26) M’yoyo, Yehofa mpaka akumbucile yiliyose yakwamba mundu jwaŵawile, soni ali jwakoseka kum’wuci"	bdc5dc363bd88ec425a1af34b3906f68
				"Chama ni tawuni yichoko ku chigaŵa cha kumafumiro gha dazi kwa Zambia, ndipo ni likuru la boma la Chama. Ni limoza mwa malo ghakutali chomene mu chigaŵa ichi. Ili lili mukati mwa chigaŵa cha kumafumiro gha dazi kwa Luangwa Rift Valley, pasi pa mapiri ghakupatura Zambia na Malawi.[1] Iyi ndiyo njinga yachiŵiri kufuma ku Chama pamanyuma pa Lundazi-Chipata Road ndipo yikovwira kuti ŵanthu ŵa ku Chama ŵafike ku chigawa cha Muchinga, icho ni Chinsali. Ukaboni[lemba | kulemba source] - General references - Google Earth - Terracarta/International Travel Maps, Vancouver Canada: ""Zambia, 2nd edition"", 2000"	be67cf5c55407e6d0fad265916caa2ad
